,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,45214407239.7309,50462785542.9825,59389686688.9359,85798505586.8165,102254184117.35901,109072045988.211,117534976026.604,116458293035.188,135883641289.077,150436893331.341,173472226795.055,202093832452.73602,192113947080.98898,192579379702.51102,206565196128.71,182212382954.83,191649699865.302,228002772759.73602,288701925268.086,320029311058.335,323813934850.657,329582923024.693,326067303231.745,317329452725.492,362582122352.938,391094358364.235,434546469497.26,436474491234.841,389577812515.378,426567953804.961,408774988018.12,390108834371.85205,435171313117.59296,558422134392.479,678337418022.765,760939512577.5759,818233984853.555,985139395308.653,1057010486406.54,1014835716679.06,1299463076448.8,1546688928146.03,1590707559042.66,1543216347504.33,1464256128283.56,1248853700525.19,1311696155002.23,1416105432089.45,1453870547379.7
Austria,15373057118.3939,17858749573.4711,22060179881.9653,29514760808.9313,35188342791.438995,40058428702.902,42959105477.6784,51547567109.1746,62050455105.6829,73940789301.4136,82055323021.7893,71031275056.9847,71272755055.8433,72118456241.1804,67984559908.590996,69388407992.7552,99035643154.8294,124172996453.003,133333463377.44801,133104415385.13,166467816276.362,173789680811.257,195071775656.04602,190369886015.51102,203545936709.455,241054444975.303,237264783293.719,212786266749.798,218254630505.858,217179476080.12698,196799627787.27698,197336113323.371,213387477628.53897,261685687440.571,300917298367.82104,315966559717.455,335981345830.776,388671495782.79205,430310227057.437,400148193470.57104,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441996131736.508,381817565893.574,395227684138.86206,418316161095.683,455508255028.219
Azerbaijan,,,,,,,,,,,,,,,,,,,,,6518069399.4887,6691325121.95389,5297112233.87158,4169972437.05686,3421911273.64548,3080800305.35917,3176554489.6975,3962337295.73754,4446396217.63266,4581222442.457829,5272617196.045171,5707618246.56848,6236045523.86129,7276413079.11451,8680410157.5717,13245421880.834,20981929497.6188,33049426816.4448,48851318825.7152,44292408816.638,52905998878.7143,65952763948.839005,69679913509.9091,74160553008.7311,75239737488.8044,53076244754.5037,37867007022.7844,40866632047.8414,46939128047.7641
Bahamas,762965054.601667,790540409.79054,850048649.0,972468120.0810391,1179144440.17914,1101104088.1011,1212959869.21296,1288018707.28802,1501748178.50175,1824624082.82462,2189549043.18955,2268372957.26837,2554188013.5541897,2842811438.84281,3036122483.26505,3306337382.0,3574150547.0,3935169678.0,4091463142.0,4612085023.0,4767541687.0,4685397547.0,4682384800.0,4656325033.0,4907552998.0,5164608418.0,5862513960.0,6332400000.0,6833200000.0,7683900000.0,8076500000.0,8317800000.0,8881200000.0,8870100000.0,9055300000.0,9836200000.0,10167300000.0,10618300000.0,10526000000.0,9982000000.0,10095800000.0,10070400000.0,10720500000.0,10562700000.0,10913300000.0,11752300000.0,11938400000.0,12150400000.0,12424500000.0
Bahrain,422003551.567756,454985467.761206,575580428.224306,820273127.766476,1123155692.66645,1184510018.16564,1704610159.79039,2143884345.1128101,2448582231.2758102,2919845264.4071198,3764309881.9057,4249495447.47206,4467526926.77534,4577031528.1304,4785937614.34612,4475022765.95745,3740429414.8936205,3800396218.08511,4173233305.8510604,4478281832.44681,4909130284.5744705,5197557577.12766,5432210287.23404,5946492301.64982,6410106979.66421,6786968611.5778,7059043163.34815,7315426212.87212,6997873038.3517,7582447228.63737,9062906941.489359,8976207763.29787,9593509106.38298,11074822140.9574,13150166877.6596,15968726805.8511,18504758606.383,21730012433.5106,25710874406.9149,22938220337.766003,25713271276.5957,28776609460.1064,30749332534.5745,32539557497.3404,33387686170.2128,31125797872.3404,32267860627.6596,35432666385.6383,37876302425.5319
Bangladesh,6195774654.48551,5577824265.22357,6211616977.575721,6769905148.4768,8086908659.773029,8474735037.322479,9447322262.28935,9949540465.28503,12750957172.1509,14758225422.5659,16729233787.1729,16967808187.3018,15443050924.2118,15760530886.7866,18474003542.8811,19169047073.0805,20219807923.4319,22974397199.9418,24814782417.4787,26954551853.7651,28136571390.2297,30066722399.0207,30690544963.7159,31685289282.4326,33674743447.1198,37866029742.8008,39795982701.0953,41169352757.1457,42676520395.1436,44758115447.7706,45469586063.6088,45432923187.1939,47194755389.7181,51690437358.2546,55949962465.9684,57628097480.8975,69971619881.4602,79825872642.2371,91646940101.6279,102126496495.70401,114507797698.349,123506292446.36699,128899307875.31401,153504934846.809,173061569701.477,194465981064.67603,220315832054.34302,245633488923.34198,269627615528.36603
Barbados,217984527.39100802,245022767.82047597,280300466.81718904,341996846.295134,408931501.853068,480681170.392157,521708282.5,593439438.5,664155249.5,805288240.0,1033561744.0,1137545043.5,1188551211.0,1261835248.0,1375374738.0,1439341489.0,1580355027.0,1740242041.5,1851034127.0,2046876309.0,2054700440.0,2038240620.5,1970028302.5,2077925952.0,2184662325.5,2297053606.5,2449281689.0,2588836721.0,2919042910.5,3058799903.0,3152105872.0,3147208318.5,3200677486.0,3306959447.5,3548807711.5,3935512483.0,4217450000.0,4674000000.0,4784950000.0,4465650000.0,4529928302.0,4657699462.0,4610095995.0,4677248289.5,4696344351.0,4715003610.0,4830007352.5,4978153889.0,5086693295.0
Belarus,,,,,,,,,,,,,,,,,,,,,19480345682.7485,19860059312.5169,18353681998.2009,17367960615.1429,15666313394.6713,14323701996.9069,14990947761.4177,14574579171.9522,15737046914.6251,12549067246.6971,10770187054.4625,12772736431.6547,15088618673.8634,18428403814.7084,23924384606.9276,31231983629.0869,38212092239.4099,46807243743.0446,62807178041.5396,50873190164.4084,57231905885.8288,61762342551.2098,65685908728.2461,75527534437.4372,78813050534.2645,56454777259.7683,47723549319.0842,54725418813.9605,59662253540.7116
Belgium,26706893654.3139,29821889464.7409,37209655821.3853,47743692897.2172,56034095904.2887,65676349620.6442,71114099863.4586,82838174624.7067,101250629810.966,116316935277.27,126832466616.31801,104728872949.775,92092676201.8722,87182800567.5249,83348024081.6066,86265792874.4264,120020099881.643,149396380854.892,162305660804.555,164221116558.959,205329637039.996,210507765051.447,234791878134.477,224715153356.714,244894491131.513,288029323086.882,279195661149.53,252704748889.839,258522650275.17398,258151032085.525,236204351541.404,236539180857.442,257169518031.28,317369476910.69104,368553016334.209,385561359001.144,407897182534.66296,470300114625.926,515242609999.665,481316935538.84705,480951629493.03296,522645519183.591,496181260258.3,521642714407.84296,534678075827.361,462149679343.822,476056833074.336,504250025367.177,543026266507.137
Belize,27917781.553269703,35385285.4869626,46000141.161253996,74809671.9074624,99801545.33141659,115631825.41608702,91148264.3677614,117157470.0,133767697.5,156357606.5,215600750.5,213607523.0,198492216.5,209288864.0,233539796.0,231657303.5,252364720.5,306181857.0,348704038.5,402133603.0,448974444.0,479094323.0,518239092.0,559858238.5,580863704.5,620140386.0,641383824.5,654314354.0,688992457.5,732732353.0,832072464.5,868338378.5,925063215.5,983514112.5,1051367660.5,1102041612.5,1210155154.0,1271599932.5,1351340703.5,1317311308.5,1377179137.5,1460800212.0,1522899790.0,1579413515.5,1662802599.0,1723785356.5,1775100178.5,1836593466.0,1871203164.0
Benin,322055483.383875,341787646.53610295,420920211.11345,515609659.009588,553903483.232868,673957826.010626,717765317.49842,785887967.313401,953850384.3544769,1161734065.1954901,1484452236.61319,1404274745.99514,1369643302.6740901,1183358029.55647,1135586760.27324,1129578665.39905,1442809952.94201,1687767630.32379,1749715034.6198199,1622703790.59411,1992948718.8181398,2019866679.45505,2283484176.54821,2312835609.14503,1624969037.2026,2344819022.59552,2551690730.21435,2451384217.49787,2653251820.07458,2689779656.9745,2569196566.92535,2680246646.05018,3054599760.7532,3905302433.3542795,4521331974.58834,4803672097.34709,5142319486.5958,5969435195.47524,7132859564.142641,7097232735.50011,6970254725.40599,7814112710.970059,8117076857.5869,9110745402.86213,9575264608.336521,8454189036.755,8579061471.530829,9269331672.83474,10411637170.319
Bermuda,265536110.0,300883912.300884,335519057.0,384122285.0,445553344.22277695,491733538.49173397,550599031.550599,597643785.5976441,646442539.646443,751525863.751526,902432406.9024321,986968886.986969,1101104098.1011,1226389730.2263901,1291037115.53793,1428256203.0,1585802885.0,1735769786.0,1854571887.0,1966357992.0,2034951875.0,2114195038.0,2150214657.0,2290221350.0,2382306290.0,2556766532.0,2714000000.0,2932715906.0,3130460000.0,3324900000.0,3480218951.0,3680483000.0,3937228000.0,4186525000.0,4484702566.0,4868135685.0,5368123000.0,5897373000.0,6178690000.0,5938933000.0,5852973325.0,5607857479.0,5567841701.0,5647420129.0,5670241013.0,5890682421.0,6093129076.0,6269384044.0,6351400000.0
Bhutan,61775644.346461095,66328730.2519536,70098481.3928662,78853743.2485339,92846970.64315172,86769539.4968786,88409074.0054407,97826680.8277303,94030713.5546807,105315823.733279,128593292.008484,144715922.388787,152191511.987649,170819918.89729598,167818612.473268,172203230.24329498,203764374.09769198,245288277.051267,264621980.03652596,254214325.167175,273600041.81584704,233143032.99412403,234703243.051023,220857693.64026803,259552943.261391,289135174.0824,305640639.581439,356322548.04445696,360373467.357047,401809192.398775,439142549.804352,476396897.094162,537046607.0895821,621982253.405241,702736806.517719,818869610.016786,897731359.9422901,1196090841.36801,1258339565.46174,1264750066.59055,1585464266.28405,1820209093.20955,1823690130.8139102,1798331398.06925,1958818615.52113,2059808459.3311,2219679526.8617,2528009184.62256,2658312058.43929
Bolivia (Plurinational State of),1010101010.10101,1094276094.2760901,1278676194.05792,1299350324.83758,2148925537.23138,2398800599.70015,2748625687.1564198,2762925957.65124,3017969187.03141,3272715970.81132,3519392020.6653,3888030095.6251,3948283743.9971104,3919829886.43476,4036816780.8197,4124273816.46689,4102533598.5273204,4313328476.13212,4597612302.280971,4715974510.37455,4867583880.98277,5343262434.455971,5643867692.74156,5734706238.64325,5981149294.27084,6715147012.10504,7396948368.570009,7925736315.97228,8497494130.99502,8285063967.68981,8397855942.32,8141517334.76281,7905485150.06974,8082399991.81808,8773156956.46148,9549120156.210041,11451845965.3378,13120084506.9013,16674309556.0914,17340028490.0285,19649786223.2779,23963162971.8339,27084497482.9233,30659338880.4631,32996188012.5904,33000198248.191,33941099855.2822,37508683068.0174,40287647930.5355
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,7754759482.00137,6115682137.83404,4734635595.420071,3630671070.7344103,2818240188.8779697,2033746134.79769,2825220283.96437,3879200611.4758897,4336294650.91679,4804204840.89709,5693132323.872089,5945594325.98353,6896386223.7667,8712800448.556992,10410125222.4616,11222796203.0373,12864842265.9778,15778737138.2924,19112801229.8123,17613946141.6917,17176320802.8742,18644239020.6064,17226736263.8011,18179104674.47,18558731470.6389,16211618367.7401,16912957665.6753,18080610874.6339,19781950020.3568
