,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cayman Islands,31074200.306429602,38910363.523365706,51744185.9883189,67519089.71446359,78840251.2149407,94054285.7157685,112204186.19387901,133856554.476478,159687235.634581,190502512.391507,227264249.93296403,271120187.519195,323438924.499009,450848794.390366,506945188.08502,548498072.199229,602516822.206729,704321388.928556,860144704.457882,984804538.8872619,1225814499.658,1279833442.93377,1356706555.62622,1457472662.69065,1582339529.35812,1708868517.87407,1854096371.18548,2019267257.5483198,2649421439.28576,2872465193.8607802,3002113692.05477,3079799210.3968396,3212037225.3489,3330982385.12954,3508795905.58362,4009781180.3247204,4227645900.1836,4594984497.53086,4718095783.95061,4404981204.938271,4276511708.64197,4306642391.358021,4392003936.54043,4477417089.02439,4637027752.43902,4784703725.60976,4978366584.146339,5225231976.82927,5485221940.88776
Central African Republic,275964335.207931,293978406.526002,336104320.27161,395739159.607113,410646883.323953,552580917.963636,658369594.4197401,740303345.851565,891021197.510844,1022630357.30245,1163137395.35111,1039128921.71989,977084223.9119289,860005796.501423,823717698.689649,904883302.8196051,1174214100.5633,1256585293.5308,1323450843.08879,1291048293.9069,1507401271.60604,1441132986.13866,1477274511.2058198,1337975403.60017,890574792.1873269,1167020503.52288,1054441273.2819,981149097.597786,1012116000.17291,1045742769.9287301,956832094.526742,974967390.41944,1037278713.00073,1192513449.7088099,1328871606.15798,1412805702.32665,1537502785.42913,1754928633.81669,2033153896.0163898,2029424163.53936,2033813912.0992103,2265951515.0058303,2236749993.4093,1565488523.37294,1755518412.52687,1632136113.8403802,1811177899.0532398,1997354270.27102,2243167108.9110003
Chad,355301780.411637,387785535.928158,403013384.649875,446936126.82500994,520701998.44892997,752271453.441723,706314319.573545,714485897.540546,850880753.705796,767158756.6929259,789070817.915948,927054429.274598,866823712.480975,927823080.703914,999740434.246947,986892995.7211119,1214841089.50167,1379240458.0587,1611361975.63782,1522878641.29511,1833675591.4893699,1820027718.53755,1896094855.41989,1654085613.52285,1341884888.11344,1643276652.8110301,1837279011.4520898,1754815781.70913,1999334347.7457101,1738899326.88836,1575765965.63681,1944724857.1484199,2260468323.19965,3096886394.9730396,5021656322.80824,6680611991.1376295,7453133896.33725,8397410682.776091,10367810431.7601,9424521819.31308,10970628079.5136,12955776844.3656,14003839359.8196,13807443694.747,14499379435.1489,11690460036.7365,10392458058.8813,10394020226.724,11387424359.8349
Chile,9680014665.43932,11587753310.8446,12510670763.3062,17834428836.2967,17285268040.7835,8041259429.98727,10980227350.399,14884929048.7327,17154937811.862,23094844121.1858,30720746007.8205,36834978701.5897,26319059293.3966,21712039329.6258,21522697088.015,18984520580.9436,20408466819.1199,23831079358.0839,27814023199.5048,31721624024.2539,34918285742.1948,39901846032.1854,48229522832.7407,51214365031.90401,58636577125.5964,75099073731.6738,78959965347.8922,86298816404.2929,82716139390.8177,76069313991.7095,78363152291.6413,71455607134.3206,70098009751.5031,76084234602.3944,99259633926.8676,122964812046.139,154788024805.865,173605979255.367,179638483957.87302,172389500030.3,218537565496.648,252251992029.518,267122318194.738,278384345259.397,260541629960.67102,243919085308.948,250339863130.82,277746461078.291,298231133532.75104
"China, Hong Kong SAR",3812493809.3103795,4461399452.93444,5710090550.62573,8030117555.62033,9388694744.86162,10048090236.906,12876497273.4892,15719433719.7147,18315137712.9442,22526186035.2409,28861855877.2797,31055224236.6412,32291217616.936,29907228556.6964,33511383985.6741,35699772165.7093,41075395130.2862,50622896162.6006,59707404560.5944,68790222117.7577,76928784620.8158,88960001715.7441,104272503148.987,120354207288.828,135811776884.01,144652289130.669,159718180108.942,177353167213.821,168885436391.806,165768095391.557,171668898538.944,169404327616.605,166348873240.942,161385558801.811,169099768875.193,181569303960.226,193535434591.37,211596953544.762,219278739753.00198,214047795659.045,228638678536.952,248513617677.287,262628877166.21698,275696879834.966,291459983449.58,309385622601.348,320862765306.451,341684919641.998,362682018243.286
"China, Macao Special Administrative Region",166477331.1888,199388549.880196,244298502.64048302,333405268.147163,383757063.09460497,444348863.865184,442131264.84935194,565701430.2906481,740056176.771179,843036033.582042,1007923635.51009,1064312668.5981301,1130451077.65098,1121491570.9386199,1292289694.91061,1348820297.9389699,1517504022.03043,1941244952.8026602,2269235991.1324897,2683260274.71148,3220923431.12188,3735140706.4996705,4878993102.19394,5625568713.09248,6265857371.07347,6996070622.12187,7122539666.59972,7211272315.0146,6742395441.23361,6490612311.2921295,6720492405.83611,6811227982.82193,7322647435.924029,8194991103.517291,10585663047.8036,12092275501.2533,14789613443.2868,18340552420.238,20917419055.7384,21475565538.1301,28123582424.0367,36709821915.7439,43031773947.0768,51552364121.0449,55347797688.0053,45361903015.0692,45322462543.0621,50559425547.0439,54545134153.84599
"China, People's Republic of",92602617774.1039,99800575342.8942,113689259615.595,138543172259.268,144182133461.239,163431551867.637,153940455420.8,174935857560.02402,218502019611.845,263697749365.722,306166577887.19104,289568992632.181,283925056816.85803,304751540741.245,313722813942.588,309838563682.355,300516248936.26,327089546223.906,407845033717.525,456287003694.00604,394565711647.517,413375557875.85297,493137146751.573,619115896649.7211,564322452602.135,734484967620.264,863748958856.4109,961601482943.933,1029060620549.08,1094004167547.49,1211331153323.29,1339400564732.96,1470557266966.76,1660280188843.75,1955347280415.61,2285961204818.79,2752118857966.54,3550327257885.52,4594336601831.58,5101690445421.93,6087192373780.18,7551545623202.28,8532186352890.89,9570470100321.8,10438471222069.4,11015562388349.3,11137982833206.6,12143572144806.7,13608151864731.7
Colombia,10096490429.4969,10957914070.1798,12165895797.2725,14393517582.1954,17296787102.0146,18333385973.4181,21468955459.7086,27259295873.8013,32553625604.0856,39123464393.7159,46757851564.0573,50951179327.4054,54552768036.2896,54224601609.5837,53563327135.9353,48856114897.815,48922427701.4075,50923001613.0375,54898963712.5896,55360090289.1594,56386835115.1442,57739762063.7559,61800136375.1808,71530116423.1194,94407946821.3359,109249937091.679,114735266884.402,125982887773.94699,116348178237.465,101925556066.46901,98931769471.8626,97283480642.5582,97037082866.3653,93746855406.6691,115974899443.521,145180961711.28198,161189825091.126,205706857070.09198,241710968376.888,232494133797.57898,286103643228.28,334454044531.323,370574419164.15204,381866603303.06396,381112110485.384,293481753078.873,282825012368.25397,311789874369.086,330227869587.49
Comoros,37476996.256081395,41447953.123624496,48838558.0296882,65179719.3348948,73653247.545174,114349455.09661299,112733559.41977601,124710895.099743,161725836.490311,216179659.103018,258774570.48830497,239427532.14603302,224378828.37136498,233660995.18590802,225217490.04228398,239886039.95185298,340451640.994602,411576590.201844,434714142.26123196,416394646.234287,510762203.44133097,514318237.394421,554675615.6919429,549210044.6106731,387081141.1679,483213730.729178,480295486.65387803,441914506.372824,448830272.649147,463799465.48179597,421942431.311025,455574742.172446,510725137.585996,657327979.622537,762021645.8865889,787338144.680821,836185468.248555,794621743.6916901,911967395.208214,901711447.309576,907093955.182466,1021748133.87499,1015900497.8532,1115905292.93971,1148057907.1285,988150693.6950359,1011870872.9556801,1065019333.23191,1165690421.23071
Congo,283678162.905165,324463522.524545,389798511.040459,519535709.771733,627653029.0942321,739566594.631708,767193924.3829889,765165836.248567,951046472.0503869,1292565315.1442401,1846019115.0840302,2157427630.24984,2338337853.48833,2269824015.02741,2373943218.69038,2338643475.8487897,2001283782.6743698,2486527890.92501,2394303403.03785,2624123749.74822,3072958509.57102,3147967872.07657,3059889836.87939,2800242389.58083,1853175950.7615101,2207380543.66788,2650414016.9243603,2423022485.7810698,2008027355.88652,2455559737.54129,3358958016.78337,2914925966.06791,3150407939.55733,3646832939.2495103,4849373391.6868,6349779925.81433,8065134380.030029,8771102343.67751,11602894194.4717,9495430273.57268,13678011910.3704,16443657995.9461,17693923328.9541,17805175957.1932,18906667255.5787,11091534659.642,10011786873.9533,10978971298.5579,14173188323.8778
Cook Islands,11153116.345836999,11243227.4692711,11630516.2992,15065320.7454606,17699518.0065288,17354218.085490197,16396360.6417884,19064840.219818104,22166164.3177709,25262325.8757768,27840460.536097303,28670527.7360701,28678835.388251502,28342880.704499602,29449721.0303,30781655.384888597,39678319.609783396,50468020.5736688,64256362.32509921,64944198.3316871,72583682.76720601,79136807.5542119,81792045.11783001,91454465.06735072,108568304.58745,115571974.984852,116540396.15836,107142124.353616,93436055.0586802,100046168.20445201,99983700.4837246,105007416.707859,121331836.18929699,166696567.732745,194743340.884334,199196541.118507,204974497.599924,226660631.820638,225453825.60602298,215568521.104354,240788432.54481602,271970637.385296,299381019.508049,289201532.65699,319453748.582807,302173463.27516204,309858493.238892,345608995.257241,362713890.59626096
Costa Rica,1252531742.4837,1369838275.1932,1574757231.1341,1944300597.95228,2119439861.0581698,2493743624.67838,3068172757.18415,3907334923.09304,4480576911.841371,5132021988.46348,6144358733.91276,3336780348.78759,3314911855.07143,4001837739.7441297,4655133658.168329,4988773450.90068,5601077673.58652,5764102930.84003,5867415103.95129,6645580623.19686,7260596112.974959,7168858162.97018,8528591307.289129,9537299959.53483,10432621539.6711,11507120156.7117,11619452084.2252,12552206399.9441,13615331860.4396,14195390057.3039,14949676186.7094,15913323117.2694,16504909034.6263,17195913957.1963,18528743975.3685,19952154756.9697,22600431089.9793,26743874711.4636,30612932094.4517,30562363429.5899,37268635236.345,42262694504.0177,46473131798.7472,49745084870.1838,50577769811.4715,54775997555.6924,57157995872.7871,58174550211.5725,60126014828.795
Côte d'Ivoire,1500930866.6410198,1597118895.60869,1872163797.0818398,2540248890.70005,3070235435.2013197,3894049302.07783,4661873596.10566,6265332805.94559,7901447798.21539,9141834187.786709,10175551514.1072,8432593939.6935,7566940615.33188,6838481401.24349,6841410679.9559,6977650641.57382,9158665698.2904,10087624533.1842,10253544614.4535,10714454782.1697,11892834267.4353,11531089450.2216,12032862336.3791,11152603587.5789,8314050720.60586,11104913313.0913,12139146708.171999,11722143261.3693,12640877308.0974,12561330036.6469,10681535709.991999,11192563447.716002,12346980846.1704,15306598753.9696,16554517271.668999,17084927539.8488,17800887469.3146,20341870862.3314,24224905503.6554,24277494337.4004,24884503950.6814,25669753852.3525,26787285216.1691,31271295500.3322,35316494573.6784,33119363298.9279,35320956244.6924,38147836937.6096,43028057229.7125
Croatia,,,,,,,,,,,,,,,,,,,,,16632203353.4346,13568539216.9316,12252224025.0738,12988508885.4733,17375913467.5207,22417645768.5778,23710453761.5388,23854869152.4047,25467103242.4182,23400341480.0081,21669247337.8543,23179681011.0985,26815779790.661,34686712107.7098,41594143606.1891,45386468265.1247,50437680226.8563,60171353429.4705,70259851617.4059,62599187588.784004,59807844793.4963,62354589180.6214,56494517298.7524,58057146116.9751,57643221344.5492,49530625299.1492,51596997794.2225,55319365463.5814,60991183097.0898
Cuba,5692936975.0,6914575471.0,8135053334.73242,9987589916.76719,11405820586.5854,13027259031.7073,13789414532.2777,14205988302.4096,17844491331.1688,19584208368.4932,19912651019.4444,20150012489.1566,20953258997.6471,22205449736.3121,24039095369.3796,22921216919.6165,24225993412.606003,25213311971.1055,27458670255.9367,27024876290.9324,28645093043.883,24317592011.3013,22085593356.7568,22366986629.7297,28447985651.3514,30428143931.4894,25017000000.0,25364500000.0,25736700000.0,28364900000.0,30565800000.0,31682300000.0,33590500000.0,35901100000.0,38203400000.0,42643600000.0,52742700000.0,58603800000.0,60806300000.0,62080000000.0,64328000000.0,69511335012.5945,73141000000.0,77148000000.0,80656000000.0,87205671392.8274,91370000000.0,96851000000.0,100023000000.0
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344637262.01117,2457581711.7318397,2593831497.7653604,2833476150.83799,2869153198.88268,2951342769.8324,3038699625.69832,3131096108.93855,3147616183.24022,3158406032.4022303,3151910754.7486,3122287954.7486,3116629110.05587,3127908037.98883
Cyprus,616073732.04969,721234556.001918,877439595.038388,1067917208.8000801,946160269.6167369,789183202.038481,912338783.4540529,1162791344.6513698,1521276896.40226,1992982637.84256,2415750837.80487,2331450489.75428,2418151586.69118,2420915903.70857,2549455364.7549,2711449628.49265,3464825993.55088,4151750014.22242,4789093143.88586,5116228424.18795,6258466317.07985,6460308315.905721,7742005287.866671,7384980173.23436,8315502848.20885,9933043850.1673,10015185957.8768,9536405413.532671,10239867545.8773,10490240466.7852,9962865041.58157,10390206386.8213,11383256502.1894,14529168063.7307,17306404387.8322,18693510310.0139,20405444750.6494,24051825587.3277,27845765614.3067,25943838678.4063,25707078696.2381,27528818203.0287,24978748334.4444,23892691523.5419,23096444329.4648,19771222555.7543,20876290551.6613,22638471872.1177,24962780237.3333
Czechia,,,,,,,,,,,,,,,,,,,,,40476651694.9084,29674998910.7964,34699498823.6212,40614582389.1217,47554536920.5115,59774195574.0875,66986464623.5175,61792518553.7658,66490440762.6737,64867389370.6112,61644834308.8339,67524302077.5817,81910976321.4187,99627140274.3805,119162404303.544,136280595083.638,155463921784.124,189227361574.219,235719047154.154,206179982164.40198,207477857918.91898,227948349666.35397,207376427020.815,209402444996.10397,207818330723.835,186829940545.75897,195090272402.72897,215913545038.43,245225882903.37
Democratic People's Republic of Korea,4927332597.27627,5439775187.15953,6005511806.61479,6630085034.63035,7319613878.21012,8080853721.40078,8412168724.12451,8757067641.634241,9116107415.1751,9489867819.06615,9878952399.6109,10244473638.5214,12868200912.7928,12855131498.5757,12251319041.578999,12074736048.5141,13653901719.0416,14391200030.2274,14192727272.7273,15771363636.3636,14702304147.4654,13687441860.4651,12457619047.619,10744075829.3839,8307075471.69811,4849295774.64789,10587906976.7442,10322790697.6744,10273488372.093,10280000000.0,10607906976.7442,11021860465.1163,10910000000.0,11051000000.0,11168000000.0,13031196789.6441,13764393534.7372,14374670965.3928,13336798314.5468,12035152491.9496,13945167272.7157,15689234225.1273,15907396534.4267,16565034100.7691,17395832618.2711,16282601357.203999,16786184835.5006,17364724930.683,17487261056.7714
Democratic Republic of the Congo,4769858922.15569,5334309221.55689,5883504071.85629,7500577784.431141,9148162275.4491,9758378802.39521,9196958131.90282,11767097162.8722,16702979497.6076,16370141027.0505,15638594784.3172,13824473859.6692,13786912271.3633,11690758854.6153,7033524225.4905205,7524232298.78315,8693480056.029242,7411962629.50653,8483897571.980821,14341555222.4983,14828706828.0662,14188129124.6395,13009464118.8043,16975079011.6648,9205583250.69452,8946579640.7464,9155409421.56575,9419104878.64152,9853196859.98874,8765569999.81534,8342256750.18578,8346166733.31622,8728022247.81945,8937648681.29932,10297495081.8359,11964558311.519,14451859957.5798,16737110427.0672,19788571874.4579,18648387485.1684,21565746507.3352,25839722463.932003,29306269640.5817,32671706985.2693,35909053414.563995,37917678437.7259,40337512404.9045,37642464496.7049,47146003693.3122
Denmark,17075466651.8679,19085584388.5844,23232439760.3927,30730638900.8564,34160363588.2722,40474752667.5208,44575663466.1686,49784350832.785,60362581328.8052,70366837487.5364,71127066918.0324,61878044566.2694,60412544145.8484,60644888510.6246,59105255833.8089,62658593689.424,88078820170.2519,109414086579.812,115552419399.765,112409620836.71,138248191891.757,139225639188.353,152914779881.16,143194742599.246,156163498396.759,185008062069.007,187633317170.62802,173538660937.541,176991296596.24103,177964204213.15802,164157903489.082,164791069851.045,178634839745.62302,218096879930.29398,251374854853.095,264466867103.225,282885943565.522,319423321236.273,353358918963.274,321243393481.153,321995350346.50104,344003209695.606,327148899962.146,343584385594.132,352993633221.281,302673037998.602,313115896930.333,329417097417.568,355675310874.243
Djibouti,71364603.0858025,80653479.2828106,96978720.3877983,121149923.957793,152486200.281072,169366591.456099,202153937.915059,217757046.15784198,238761879.576633,264009317.977414,301185566.141881,319703355.260885,334136089.715532,337590943.109355,341254959.111986,355409384.261598,384291830.85956204,398675950.821794,425889691.40956897,437880979.20898503,456913926.88539904,466273541.112193,481591370.74403095,482163616.004862,510877161.39342004,509631388.52470994,496470872.885028,491155237.704042,497751531.89549905,525072790.66626906,546369651.751903,569561409.6814669,590022699.686587,623231067.4540429,663912773.341361,708633194.726566,768642985.353447,847918929.107984,976204275.2404051,1093910616.59005,1243651704.2724302,1453794454.6902199,1705189897.6598198,2042817163.00268,2216200394.72394,2445484583.20392,2618587757.01666,2766868072.1978397,2923362592.84267
Dominica,23044577.9884777,25752039.179405104,27682790.7580719,31800422.768299498,37678896.2998369,39702712.907951504,38717424.2848384,43120482.2222222,53531901.4814815,52496027.037037,70040058.51851851,78476292.9629629,85389440.3703703,94721091.85185179,106480026.296296,116834384.81481498,132820215.18518502,148915777.777778,172604829.62963,185544485.555556,198194447.777778,210172847.40740702,227256002.592593,237518185.92592597,255343132.592593,259714875.555555,279984662.22222203,290400471.111111,307474847.77777797,317276154.444444,321362592.592593,328080370.37037003,323600370.37037003,337254444.444444,374762962.962963,370414814.814815,397788888.888889,428703703.703704,469055555.555555,498929629.62962997,493825925.92592597,501400000.0,485355555.55555594,509259259.259259,523333333.333333,540829629.62963,575470370.37037,519837037.037037,550892592.592593
Dominican Republic,1859112944.0,2085635628.08564,2487244070.0,2934532502.0,3661532644.8307705,4504297142.5043,4945328042.94533,5740785591.740789,5925132502.92513,6881784091.88178,8298364330.298359,9094572783.09457,9967498585.9675,10791991085.792,12959725534.3999,5617973067.068621,6799933519.30449,6359192054.29037,5805070319.80826,8368314851.577291,9522418428.09051,9867165499.26432,11443289344.2634,12984337451.8077,14097479998.4043,15747403917.1603,17078580525.1701,19653241405.7015,20872307173.2339,21862302439.6846,23959949379.6838,25208160067.8991,25654738277.9258,20389120902.7579,22233034287.2492,35510401477.6903,37932619634.1263,43780696524.3577,47657828171.4937,48071068100.3748,53159569599.4263,57811243036.39,60657847548.0836,62661707772.101,66065071988.1606,68802095551.5125,72342999666.0783,76011274397.4563,81298585403.2353
Ecuador,2861132000.0,2752900000.0,3184460000.0,3889890000.0,6596096000.0,7727971000.0,9087566000.0,11021061000.0,11916787000.0,14168371000.0,17872943000.0,21800312000.0,19920300000.0,17144261000.0,16904408000.0,17140874000.0,15306803000.0,13938747000.0,13045630000.0,13884170000.0,15231973000.0,16980041000.0,18085191000.0,18929248000.0,22697319000.0,24420668000.0,25213780000.0,28147972000.0,27967906000.0,19635450000.0,18318601000.0,24468324000.0,28548945000.0,32432859000.0,36591661000.0,41507085000.0,46802100000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,108398058000.0
Egypt,8142813796.25965,8629234276.93639,9226975131.98827,9589429095.29297,11333916303.133999,12677626556.1582,14974320785.6145,19135598507.8672,23431875159.0696,15615518037.8212,20119009508.3156,13485809812.4407,15737599956.4633,18915701013.9535,21597069700.6641,23784327949.8849,24747002166.3953,27352280089.7513,29818124979.823997,32789274457.2059,35995024949.3915,39199914162.5394,45789045446.8505,50619966005.2483,56527978530.6339,65758036433.6899,73961364054.9612,81571756041.6083,87146298124.2621,91906116309.2556,95683644417.8511,90724340843.9466,86521730138.6029,74076435595.1888,79187405117.9411,94456321806.593,107741504113.49199,132165346645.925,164843994477.681,187956439769.09302,214630372040.99802,231100308408.56302,276536289418.172,270782459345.082,300949110389.57,317744560653.81604,270254532177.443,195135299312.697,249751081602.89603
El Salvador,339460657.0,357021244.0,380523382.0,439938899.0,520744003.0,591250418.0,753388764.0,946291144.0,1015609248.0,1136420801.0,1177351490.0,1141702180.0,1183821180.0,1340414078.0,1539125976.0,1892186185.0,2609397500.0,3055409986.0,3613255679.0,4255471407.0,4817542204.0,5252342352.0,5813399327.0,6680269152.0,7679384019.0,8921947111.0,9586327762.0,10221705880.0,10936669911.0,11284196954.0,11784927669.0,12282533600.0,12664190271.0,13243892169.0,13724810917.0,14698001420.0,15999886383.0,17011750854.0,17986886243.0,17601616010.0,18447922436.0,20283783661.0,21386153018.0,21990962051.0,22593472396.0,23438237940.0,24154111974.0,24927973702.0,26056944930.0
Equatorial Guinea,20972338.086875603,21777145.8707922,20831038.993048802,26498860.7481663,28172908.575265303,34878285.8712605,36231988.6742897,40140316.2378572,45455623.657924704,51399794.0638042,55654911.1574929,52380514.98423371,62160524.64074971,70216223.1122343,70505299.3651928,88290308.2052244,111945440.935574,136333719.004429,149553282.704076,138026246.200123,169733334.83998302,171490712.681502,202462541.45778602,199765224.200454,165118430.817182,215327909.69324,340197768.24692404,653628166.851987,548042388.995474,917093973.1014961,1510819217.1795402,2207701641.5857396,2716640963.84042,3697915667.26906,5620779669.04338,8519677076.22515,10086536163.2588,13071717522.7061,19749902195.5979,15027797585.2616,16298535260.8773,21329355296.8377,22389603208.4666,21942553595.4931,21736599869.6561,13175520651.9194,11262313130.9517,12517670732.5956,13324357169.0827
Eritrea,,,,,,,,,,,,,,,,,,,,,332358452.5306,383949879.26831603,437077216.77022797,505071487.691668,630766972.534073,639723719.688958,748455449.32464,782065820.081831,809308956.861575,793700799.291845,706370812.25974,752371682.1383,729321668.866786,870248292.237162,1109054002.3934698,1098424708.64084,1211161879.4796698,1317974493.39837,1380188800.0,1856695550.43902,2117039510.69919,2607796750.63415,3060534090.60163,3515613808.52033,3963935121.6260204,4442127536.84553,5012686019.73941,5928331759.402989,6855258985.4063
Estonia,,,,,,,,,,,,,,,,,,,,,5652516940.7935295,5376186692.84983,4334703091.28444,4182675416.0821295,4186901887.26784,4470687371.853721,4777259476.91975,5147679157.31374,5661916606.70235,5768998028.07865,5698304098.78146,6259525174.856339,7372547530.031429,9877791603.51617,12144348739.5771,14095687298.9179,17021085017.9744,22440779214.6058,24342792912.781002,19752865424.508,19696768129.2224,23394843529.0691,23192709238.817,25271407238.6622,26773472961.8253,23048864242.6072,23996451497.6139,26859101053.8139,30747159197.8965
Ethiopia,,,,,,,,,,,,,,,,,,,,,11207790790.8213,12786205579.2271,10229798768.2426,7382766730.2,7147530061.116191,7586836818.5115,8235652823.54655,8521562902.96738,7726621812.207159,7328478793.414959,8030202592.308259,7963475848.572121,7691050742.610371,8454148505.468221,9935634535.401009,12163585016.1495,14983303378.0566,18991964041.7357,25608605787.1349,28194199941.7199,26311297202.1824,30479431858.5635,42210509593.048996,46542005271.6898,54163013337.7064,63078657756.0862,72157653321.2278,76784784380.1267,80292451756.554
Fiji,220819601.701957,247231524.860475,316782827.065869,426231517.17817,559451912.0621231,684854091.1774759,696173812.877255,720506457.699345,830315289.977028,1021029965.86695,1204848177.88158,1237540132.57159,1195479141.15252,1124626308.4788802,1179547052.9388301,1142588023.6597,1292530095.8183901,1179610079.92604,1112007667.37944,1256548879.55056,1339086968.6960099,1386025977.97782,1535316485.5186,1639608351.41314,1828489929.4800699,1993363024.65039,2114248355.30535,2123496140.0592198,1680292143.21066,1969385137.27232,1707940614.71607,1682428664.69495,1867106045.7388,2344809339.5231104,2761510567.5293603,2980602811.01539,3076277305.50395,3378287464.93889,3523166618.73514,2870571191.17115,3140527461.26145,3774772293.05395,3972027666.65694,4189863717.3162203,4857092635.42995,4682495018.7325,4930244148.12162,5353468384.1734295,5536813267.77279
Finland,11301891940.2147,12466329068.3457,14671425071.6095,19377342811.6929,24726600230.0539,29327275518.2537,31700986594.2732,33368784955.3912,36175473346.2547,44350281768.215996,53649051983.3399,52450287688.8916,52795245479.1021,50972397000.8912,52888307123.4313,55875260438.6805,73528785938.3137,91597110423.8022,109058670627.565,119006993650.401,141445520555.09302,127764750997.934,112534352700.33801,89210540458.5142,103296211461.158,134186048649.61801,132132654611.357,126906819426.613,134037621982.888,135214481048.744,125706555412.325,129419870963.123,139744733981.56302,171267661800.1,197125526934.992,204804009351.838,216896428799.177,256039417631.863,284564517773.29803,252481317677.40198,249181190476.369,275243697751.011,258304834621.605,271285280621.37302,274497230802.958,234585368746.272,240570297852.344,255065064429.412,276878327687.05896
Former Czechoslovakia,16294289496.3333,17038566806.6296,19527364034.3826,23073680708.5766,24753774313.639,27299650890.227,26914036073.1848,38583148181.6669,42500627408.7862,45672113579.0854,47821773695.6887,50777704075.0486,51175627231.7229,50810168852.2507,45917764537.9365,45928514149.5916,53903069826.6845,60510967841.2472,59797613778.6031,58629877548.0763,41035870237.5299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Ethiopia,2559075270.46455,2709458844.98552,2958143029.11224,3420507254.51841,3846328014.9016104,3827828058.85402,4160065103.4589705,4729822187.79218,5033997500.98261,5533011306.53769,5888737059.849629,6168592205.87855,6351790276.01536,6950163397.56046,8210169789.57533,9614572844.92754,10042150488.8889,10740506520.7729,10435499748.7923,10722353005.314001,11540149243.3519,13170155458.4954,10666875985.0129,7887838217.89167,,,,,,,,,,,,,,,,,,,,,,,,,
Former Netherlands Antilles,224218559.69529703,244050294.383236,278185901.821214,312899698.507167,394215577.441231,467922953.037735,523560133.6242,591085600.328381,719479093.733044,851676838.250932,943448967.7463609,1086494839.4925,1161801256.7565598,1155989829.53111,1167612684.15917,1189889823.3333302,1543781556.6666698,1613760832.22222,1673085823.3333302,1878236152.9739802,1980288632.9608898,2076591132.9608898,2176850435.75419,2319904085.47486,2492785943.57542,2571313265.9217896,2691843575.4189897,2777219432.96089,2807531166.48045,2788480479.88827,2856513683.79888,2899046085.47486,2934006155.30726,3019647712.2905,3103576388.82682,3052592078.77095,3215828093.85475,3401302994.9720697,3688208248.60335,3728151098.8826795,,,,,,,,,
Former Sudan,1233693283.26736,1338753593.73565,1659118327.56783,2134480189.93245,2600396331.4198604,3242133840.4426603,4043202194.2653704,4750817656.63967,5111632358.68497,5646498653.93359,6365486012.73097,7672758464.7381,5807458789.0786,5234454615.384621,7061693846.15385,6623773179.7840605,8978234800.0,11623565666.6667,11542303111.1111,11338679202.3004,12646641713.3641,11329180598.383999,12116758801.1774,12528649867.8971,11884304301.174,12847187343.205,8377204018.25511,10241121411.0173,10924153611.2496,10714222610.7328,13092089677.4884,15716361226.7359,18137125704.8996,21355295464.9868,26646006923.8673,35182655040.4171,45263776747.6131,59440603144.6853,,,,,,,,,,,
Former USSR,433412461168.889,455576460934.444,515797471199.271,617777387022.973,616593066088.083,685971572349.931,688530165752.6321,738416534350.4741,840138635669.591,901615848297.256,940037885448.485,906864339722.222,959947826212.3291,993047901289.973,938264302955.774,914117647058.8241,851263699837.7809,800518191052.175,783842548732.698,782125354696.9609,790865979353.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Yugoslavia,14553599985.4464,15801743320.9768,16484705882.3529,21471934325.8459,29706205814.5958,33279200500.9669,37562748992.3521,45672886338.6859,54338002854.628,68198420579.124,69958906197.3501,68930426101.3,62827496930.5899,64374270280.3903,66779382511.9831,68636846460.6922,71901722527.2663,74061533011.6896,74273102713.3653,77280530411.544,69896187191.6042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,148450958498.706,165974625959.409,203484660985.22302,264421351010.781,285543957372.264,360848292409.986,372322045575.123,410285602701.41205,506694842987.702,613970509875.968,701305015185.593,615551683162.386,584871786075.3989,559889213926.323,530696842617.789,553142969026.183,771488415239.475,934146209719.043,1018813494768.71,1025162972813.3,1269138608283.33,1269224971748.19,1401401633694.28,1322886326147.8,1393976485635.47,1600996702404.55,1605764901946.97,1452888333012.28,1503149910224.83,1492604184931.83,1362247894595.01,1376453007131.93,1494354627461.25,1840409841230.73,2115834435318.15,2196071481868.38,2318474882627.39,2657076867803.8,2918490999002.21,2690060238350.62,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2592689469914.12,2778892247474.51
