Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Congo,20.3,20.225,20.15,20.075,20.0,20.04,20.08,20.12,20.16,20.2,20.12,20.04,19.96,19.88,19.8,18.68,17.56,16.439999999999998,15.32,14.2,12.0,10.0,10.0,9.6,9.8,9.7,10.2
Congo (Democratic Republic of the),2.5,2.625,2.75,2.875,3.0,3.02,3.04,3.06,3.08,3.1,3.06,3.02,2.98,2.94,2.9,3.12,3.34,3.56,3.7800000000000002,4.0,4.3,4.5,4.4,4.2,4.2,4.3,4.1
Costa Rica,5.4,5.3500000000000005,5.300000000000001,5.25,5.2,5.18,5.16,5.14,5.12,5.1,5.3999999999999995,5.699999999999999,6.0,6.3,6.6,6.72,6.84,6.96,7.08,7.2,10.1,9.8,8.8,9.1,9.0,8.6,8.1
Croatia,11.1,10.85,10.6,10.35,10.1,11.3,12.5,13.700000000000001,14.900000000000002,16.1,15.4,14.700000000000001,14.0,13.3,12.6,12.4,12.2,12.0,11.799999999999999,11.6,13.7,15.9,17.3,17.3,16.2,13.1,11.2
Cuba,7.6,7.775,7.95,8.125,8.3,7.74,7.180000000000001,6.62,6.0600000000000005,5.5,4.8,4.1,3.4000000000000004,2.7,2.0,2.1,2.2,2.3,2.4,2.5,3.2,3.5,3.3,2.7,2.4,2.4,2.3
Cyprus,2.0,2.375,2.75,3.125,3.5,3.8,4.1,4.4,4.7,5.0,5.06,5.12,5.18,5.24,5.3,5.5,5.7,5.9,6.1,6.3,7.9,11.8,15.9,16.1,14.9,13.0,11.1
Czechia,2.3,2.7249999999999996,3.15,3.575,4.0,4.96,5.92,6.880000000000001,7.840000000000001,8.8,8.620000000000001,8.440000000000001,8.26,8.08,7.9,7.78,7.66,7.54,7.42,7.3,6.7,7.0,7.0,6.1,5.1,4.0,2.9
Côte d'Ivoire,6.6,5.975,5.35,4.725,4.1,4.22,4.34,4.46,4.58,4.7,4.9,5.1000000000000005,5.300000000000001,5.5,5.7,5.92,6.14,6.359999999999999,6.58,6.8,7.3,7.2,4.3,3.7,3.1,2.6,2.5
Denmark,9.1,8.575,8.05,7.525,7.0,6.5,6.0,5.5,5.0,4.5,4.56,4.62,4.68,4.74,4.8,5.34,5.88,6.42,6.96,7.5,7.6,7.5,7.0,6.6,6.2,6.2,5.7
Djibouti,12.2,12.524999999999999,12.85,13.175,13.5,13.52,13.54,13.56,13.58,13.6,13.42,13.24,13.059999999999999,12.879999999999999,12.7,12.66,12.62,12.58,12.54,12.5,12.4,12.3,11.7,11.8,11.1,11.1,11.2
Dominican Republic,6.1,6.199999999999999,6.3,6.4,6.5,6.48,6.46,6.44,6.42,6.4,6.44,6.48,6.52,6.56,6.6,6.319999999999999,6.04,5.76,5.48,5.2,6.1,6.7,7.4,6.7,7.6,7.3,5.8
Ecuador,4.4,4.525,4.65,4.775,4.9,4.88,4.86,4.84,4.82,4.8,4.6,4.3999999999999995,4.199999999999999,4.0,3.8,3.86,3.92,3.9799999999999995,4.04,4.1,3.5,3.2,3.1,3.5,3.6,4.6,3.8
Egypt,9.4,9.8,10.2,10.6,11.0,10.6,10.2,9.8,9.4,9.0,9.44,9.879999999999999,10.32,10.76,11.2,10.719999999999999,10.24,9.76,9.280000000000001,8.8,11.9,12.6,13.2,13.1,13.1,12.4,11.8
El Salvador,7.5,7.55,7.6,7.65,7.7,7.5600000000000005,7.42,7.28,7.14,7.0,7.04,7.08,7.12,7.16,7.2,6.74,6.28,5.82,5.36,4.9,4.3,3.9,3.7,4.2,4.0,4.4,4.4
Equatorial Guinea,8.4,8.275,8.15,8.025,7.9,7.94,7.98,8.02,8.06,8.1,8.18,8.26,8.34,8.42,8.5,8.44,8.379999999999999,8.32,8.26,8.2,8.4,8.2,8.6,8.5,8.9,9.3,9.2
Eritrea,6.7,6.75,6.800000000000001,6.8500000000000005,6.9,6.9,6.9,6.9,6.9,6.9,6.86,6.82,6.78,6.74,6.7,6.74,6.78,6.82,6.86,6.9,6.9,6.9,7.0,6.9,6.8,6.7,6.5
