Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Colombia,28.9,28.08,27.259999999999998,26.439999999999998,25.62,24.8,24.080000000000002,23.36,22.64,21.919999999999998,21.2,20.64,20.08,19.52,18.959999999999997,18.4,17.9,17.4,16.9,16.4,15.9,15.4,14.9,14.4,14.0,13.5,13.1
Comoros,87.7,85.54,83.38000000000001,81.22,79.06,76.9,76.06,75.22,74.38000000000001,73.54,72.7,72.22,71.74,71.26,70.78,70.3,68.75999999999999,67.22,65.68,64.14,62.6,60.9,59.5,57.9,56.4,54.9,53.6
Congo,58.8,60.3,61.8,63.3,64.8,66.3,67.53999999999999,68.78,70.02,71.26,72.5,69.62,66.74,63.86,60.980000000000004,58.1,55.2,52.300000000000004,49.400000000000006,46.5,43.6,42.0,40.5,39.2,38.0,36.9,35.8
Congo (Democratic Republic of the),119.7,118.74000000000001,117.78,116.82000000000001,115.86,114.9,113.42,111.94,110.46000000000001,108.98,107.5,105.26,103.02,100.78,98.53999999999999,96.3,94.0,91.7,89.39999999999999,87.1,84.8,82.5,80.4,78.3,76.1,74.1,72.1
Costa Rica,14.3,13.940000000000001,13.58,13.22,12.86,12.5,12.22,11.94,11.66,11.379999999999999,11.1,10.68,10.26,9.84,9.42,9.0,8.94,8.879999999999999,8.82,8.76,8.7,8.6,8.5,8.4,8.3,8.2,8.0
Croatia,11.1,10.62,10.139999999999999,9.66,9.18,8.7,8.399999999999999,8.1,7.8,7.5,7.2,6.92,6.64,6.359999999999999,6.08,5.8,5.58,5.36,5.140000000000001,4.92,4.7,4.5,4.5,4.3,4.2,4.1,4.0
Cuba,10.5,10.06,9.620000000000001,9.18,8.74,8.3,7.9,7.5,7.1,6.7,6.3,6.16,6.02,5.88,5.739999999999999,5.6,5.3999999999999995,5.199999999999999,5.0,4.8,4.6,4.5,4.5,4.4,4.3,4.3,4.2
Cyprus,9.9,9.52,9.14,8.76,8.38,8.0,7.54,7.08,6.62,6.16,5.7,5.38,5.06,4.74,4.42,4.1,3.88,3.6599999999999997,3.44,3.2199999999999998,3.0,2.8,2.7,2.5,2.4,2.3,2.2
Czechia,10.3,9.66,9.02,8.379999999999999,7.74,7.1,6.58,6.06,5.54,5.02,4.5,4.3,4.1,3.9,3.7,3.5,3.34,3.18,3.02,2.8600000000000003,2.7,2.6,2.5,2.5,2.5,2.5,2.6
Côte d'Ivoire,104.1,104.14,104.17999999999999,104.22,104.25999999999999,104.3,103.17999999999999,102.06,100.94,99.82000000000001,98.7,96.54,94.38000000000001,92.22,90.06,87.9,85.68,83.46000000000001,81.24,79.02,76.8,75.1,73.1,71.2,69.5,67.8,66.0
Denmark,7.3,6.92,6.54,6.16,5.78,5.4,5.24,5.08,4.92,4.76,4.6,4.4799999999999995,4.359999999999999,4.24,4.12,4.0,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.7
Djibouti,92.2,91.04,89.88000000000001,88.72,87.56,86.4,85.18,83.96000000000001,82.74,81.52,80.3,78.58,76.86,75.14,73.42,71.7,69.88,68.06,66.24000000000001,64.42,62.6,60.9,59.3,57.7,56.1,54.5,53.0
Dominica,14.2,14.18,14.16,14.139999999999999,14.12,14.1,13.959999999999999,13.82,13.68,13.540000000000001,13.4,13.58,13.76,13.940000000000001,14.120000000000001,14.3,15.22,16.14,17.06,17.98,18.9,20.5,22.4,24.4,26.6,28.8,30.4
Dominican Republic,46.4,44.879999999999995,43.36,41.839999999999996,40.32,38.8,37.68,36.56,35.44,34.32,33.2,32.580000000000005,31.96,31.340000000000003,30.720000000000002,30.1,29.740000000000002,29.380000000000003,29.02,28.66,28.3,28.0,27.7,27.2,26.8,26.2,25.6
Ecuador,42.4,40.519999999999996,38.64,36.76,34.88,33.0,31.26,29.52,27.78,26.04,24.3,23.32,22.34,21.36,20.38,19.4,18.66,17.919999999999998,17.18,16.439999999999998,15.7,15.0,14.4,13.8,13.4,13.0,12.7
Egypt,62.9,60.22,57.54,54.86,52.18,49.5,47.06,44.62,42.18,39.739999999999995,37.3,35.76,34.22,32.68,31.14,29.6,28.540000000000003,27.48,26.42,25.36,24.3,23.3,22.4,21.6,20.9,20.1,19.4
El Salvador,46.1,44.02,41.940000000000005,39.86,37.78,35.7,34.0,32.300000000000004,30.6,28.9,27.2,25.98,24.76,23.54,22.32,21.1,20.200000000000003,19.3,18.400000000000002,17.5,16.6,15.8,15.1,14.5,13.9,13.4,12.9
Equatorial Guinea,121.0,120.16,119.32,118.48,117.64,116.8,114.94,113.08,111.22,109.36,107.5,104.8,102.1,99.4,96.7,94.0,91.3,88.6,85.9,83.2,80.5,78.2,76.0,73.8,71.5,69.4,67.4
Eritrea,92.7,88.92,85.14,81.36,77.58,73.8,70.62,67.44,64.25999999999999,61.08,57.9,55.699999999999996,53.5,51.3,49.099999999999994,46.9,45.36,43.82,42.28,40.74,39.2,38.0,36.8,35.8,34.7,33.9,32.9
Estonia,14.0,13.7,13.4,13.1,12.8,12.5,11.76,11.02,10.280000000000001,9.540000000000001,8.8,8.18,7.5600000000000005,6.94,6.32,5.7,5.28,4.86,4.4399999999999995,4.02,3.6,3.3,3.1,2.9,2.6,2.5,2.3
Eswatini (Kingdom of),52.0,54.42,56.839999999999996,59.26,61.67999999999999,64.1,67.33999999999999,70.58,73.82,77.06,80.3,80.24,80.17999999999999,80.12,80.06,80.0,76.12,72.24,68.36,64.48,60.6,56.4,51.3,48.7,46.5,42.5,41.2
Ethiopia,120.2,117.10000000000001,114.0,110.9,107.8,104.7,101.4,98.10000000000001,94.80000000000001,91.5,88.2,84.7,81.2,77.7,74.2,70.7,67.62,64.54,61.46,58.379999999999995,55.3,52.7,50.4,48.2,46.1,44.2,42.5
Fiji,24.3,23.64,22.98,22.32,21.66,21.0,20.7,20.4,20.1,19.8,19.5,19.52,19.54,19.560000000000002,19.580000000000002,19.6,19.740000000000002,19.880000000000003,20.02,20.16,20.3,20.3,20.4,20.4,20.6,20.8,21.1
Finland,5.5,5.26,5.02,4.779999999999999,4.54,4.3,4.14,3.98,3.82,3.66,3.5,3.42,3.34,3.2600000000000002,3.18,3.1,2.98,2.86,2.74,2.62,2.5,2.4,2.3,2.2,2.1,2.0,1.9
France,7.4,7.0,6.6000000000000005,6.2,5.800000000000001,5.4,5.2,5.0,4.800000000000001,4.6000000000000005,4.4,4.28,4.16,4.04,3.92,3.8,3.7399999999999998,3.6799999999999997,3.62,3.56,3.5,3.5,3.4,3.4,3.4,3.5,3.5
Gabon,60.2,59.68,59.160000000000004,58.64,58.120000000000005,57.6,56.92,56.24,55.56,54.88,54.2,53.160000000000004,52.120000000000005,51.08,50.04,49.0,47.78,46.56,45.339999999999996,44.12,42.9,41.7,40.4,39.3,38.5,37.4,36.1
Gambia,82.4,80.36,78.32000000000001,76.28,74.24000000000001,72.2,70.44,68.68,66.92,65.16,63.4,61.8,60.199999999999996,58.599999999999994,57.0,55.4,54.06,52.72,51.38,50.04,48.7,47.6,46.4,45.4,44.2,43.3,42.3
Georgia,40.8,40.22,39.64,39.059999999999995,38.48,37.9,36.5,35.1,33.7,32.3,30.9,29.06,27.22,25.38,23.54,21.7,20.32,18.94,17.560000000000002,16.18,14.8,13.8,13.0,12.2,11.5,10.8,10.2
Germany,7.0,6.66,6.32,5.98,5.64,5.3,5.12,4.94,4.76,4.58,4.4,4.300000000000001,4.2,4.1,4.0,3.9,3.82,3.7399999999999998,3.66,3.58,3.5,3.4,3.3,3.3,3.3,3.3,3.2
Ghana,79.3,77.72,76.14,74.56,72.98,71.4,69.94,68.48,67.02,65.56,64.1,62.559999999999995,61.019999999999996,59.48,57.94,56.4,54.9,53.4,51.9,50.4,48.9,46.9,44.8,42.8,40.7,38.9,37.2
Greece,9.2,8.84,8.48,8.120000000000001,7.76,7.4,7.0200000000000005,6.640000000000001,6.26,5.88,5.5,5.18,4.86,4.54,4.22,3.9,3.76,3.62,3.48,3.34,3.2,3.2,3.3,3.5,3.6,3.9,4.2
Grenada,18.1,17.48,16.86,16.240000000000002,15.620000000000001,15.0,14.64,14.28,13.92,13.559999999999999,13.2,13.02,12.84,12.66,12.48,12.3,12.38,12.46,12.54,12.62,12.7,13.1,13.4,13.9,14.4,14.8,15.1
Guatemala,60.1,57.92,55.74,53.56,51.38,49.2,47.52,45.84,44.16,42.48,40.8,39.5,38.199999999999996,36.9,35.599999999999994,34.3,33.26,32.22,31.18,30.14,29.1,28.2,27.2,26.3,25.5,24.7,23.9
Guinea,138.6,134.92,131.24,127.56,123.88,120.2,116.26,112.32000000000001,108.38,104.44,100.5,96.8,93.1,89.4,85.7,82.0,79.5,77.0,74.5,72.0,69.5,67.4,65.4,63.5,61.6,59.8,58.1
