,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europe & Central Asia (IDA & IBRD),,,7.185628742514971,7.70121598147076,,8.62265224815026,10.7617896009673,12.8354348528936,10.6425702811245,12.4209461168733,12.347218757795,12.793373216751,14.812286689419802,15.1031894934334,15.8193372673627,15.881955395359302,16.8845807033363,18.232044198895,18.429203539823,18.8696039163329,18.886414253897602,19.2419175027871,21.1389521640091,21.4511041009464,23.1913455037187,24.1542625169148
Europe & Central Asia (excluding high income),,,6.270305393112401,6.7749603803486504,,7.302790217016879,8.93362692670651,,9.24819125511167,10.8673978065803,10.795825179386801,11.519247722597699,14.310544611819198,14.501055170334599,15.351257588898498,15.4352806414662,16.2231759656652,17.846944603083998,18.1012296253932,18.5558112773303,18.5163887291547,19.090123812266103,20.3768115942029,20.7833047455689,22.705175865027197,23.526044647968
European Union,,,17.0148805050353,17.059972944536298,17.9947392851617,19.5739227935287,19.5504926108374,20.2830922382952,21.3775985107043,22.072425145007,22.178398058252398,22.8848191312245,23.8765320018157,24.153567110036303,24.467924528301896,24.377358490566,25.113327289211195,26.0376231710958,27.681764004767604,28.2405276882957,28.266543835406104,28.2859338970023,29.7895222000307,30.5162876459742,31.8174834844062,32.2377514974658
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,5.8,5.8,5.0428571428571445,5.286607142857145,9.0213028169014,7.262499999999999,6.732142857142855,6.9758928571428545,7.219642857142855,8.831602112676055,9.075352112676054,10.177777777777777,10.655555555555555,11.133333333333333,11.61111111111111,12.088888888888889,12.566666666666666,13.044444444444444,13.522222222222222,14.0,16.0,16.0,16.0,19.6078431372549,19.6078431372549,19.6078431372549
Finland,33.5,33.5,33.5,34.0,36.25,36.5,36.6,36.7,37.3,37.4,37.5,38.0,40.0,40.25,39.75,40.0,42.5,42.5,42.5,42.5,41.5,41.5,42.0,42.0,47.0,46.0
Fragile and conflict affected situations,,,,,,,8.7701355152135,10.315789473684198,,11.0333935018051,11.9006849315069,13.103802672148,13.329884462838399,13.278716504523,13.020156046814,13.2996367082609,14.643219479201901,15.2282676672921,16.610224157394,15.599865951742599,17.5158227848101,17.4069440100094,17.887513053856498,17.6251743915672,17.2994440031771,18.375145372985603
France,9.0,9.0,9.959272097053748,9.975938763720416,9.992605430387083,10.00927209705375,10.48927209705375,11.57585788561525,12.087560975609751,12.567560975609751,13.04756097560975,13.657560975609751,17.2687868284229,17.878786828422903,18.83540727902945,19.44540727902945,19.49540727902945,25.981542461005198,25.981542461005198,25.9349220103986,25.9349220103986,25.9349220103986,37.19740034662045,39.5833333333333,39.688041594454106,39.514731369150795
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,9.6,9.6,8.966666666666665,9.183333333333332,9.399999999999999,10.033333333333335,10.133333333333335,10.2718487394958,10.3718487394958,10.471848739495801,10.571848739495799,12.620000000000001,15.123333333333349,15.54333333333335,14.95758620689655,15.37758620689655,14.983333333333348,16.24473684210525,16.24473684210525,15.4,15.08333333333335,15.08333333333335,17.247008547008548,,17.910447761194,14.7887323943662
Gambia,2.0,2.0,2.0,2.0,2.0,2.0,4.24,6.4799999999999995,8.719999999999999,10.959999999999999,13.2,12.059999999999999,10.92,9.78,8.64,7.5,7.5,7.5,7.5,9.4,9.4,9.4,10.3,,,
"Gambia, The",,,2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,5.660377358490571,13.207547169811301,13.207547169811301,13.207547169811301,13.207547169811301,9.433962264150939,9.433962264150939,7.5471698113207495,7.5471698113207495,7.5471698113207495,7.5471698113207495,7.5471698113207495,9.433962264150939,9.433962264150939,9.433962264150939,10.3448275862069,10.3448275862069,10.3448275862069,8.62068965517241
Georgia,6.9,6.9,6.913203463203465,6.963203463203465,7.1000000000000005,7.217021276595745,7.437021276595745,7.657021276595746,7.877021276595745,9.160851063829785,9.380851063829784,9.090851063829785,8.800851063829786,6.83,6.094744525547445,6.510869565217391,6.5846715328467145,12.0,12.0,12.0,11.316666666666652,16.0,16.0,16.0,14.7651006711409,14.0939597315436
Germany,25.5,25.5,25.8452380952381,26.661904761904765,29.854185351270534,30.6708520179372,30.75054054054055,31.306235489220548,31.31623548922055,31.615000000000002,31.129478827361552,31.16804560260585,31.31381729200655,31.704771241830052,32.12871382636655,32.24871382636655,32.6516129032258,32.6516129032258,36.02503961965135,36.02503961965135,36.67503961965135,36.67503961965135,31.1237658674189,30.7475317348378,30.8885754583921,31.1706629055007
Ghana,9.0,9.0,9.0,9.11875,9.2375,9.7125,9.475,9.59375,9.7125,10.76603260869565,10.88478260869565,10.62478260869565,10.36478260869565,8.61736842105263,8.540434782608695,8.280434782608696,8.280434782608696,9.600000000000001,10.90454545454545,10.90454545454545,10.90454545454545,10.90454545454545,12.713636363636349,12.727272727272698,13.090909090909099,13.090909090909099
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,6.3,6.3,6.316666666666665,6.716666666666665,7.116666666666665,8.683333333333334,9.113333333333333,9.543333333333335,9.973333333333334,13.07,13.0,13.43,14.69333333333335,15.123333333333349,16.88666666666665,17.31666666666665,18.68333333333335,21.0,21.0,21.0,19.68333333333335,19.68333333333335,18.31666666666665,18.6666666666667,20.6666666666667,21.6666666666667
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,17.9,17.9,18.95,18.95,17.9,22.28333333333335,23.703333333333347,25.12333333333335,26.54333333333335,27.963333333333352,29.38333333333335,28.31333333333335,27.24333333333335,19.50666666666665,18.43666666666665,17.36666666666665,15.61666666666665,15.61666666666665,29.16666666666665,29.16666666666665,29.16666666666665,29.16666666666665,29.16666666666665,46.6666666666667,46.6666666666667,46.6666666666667
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,12.5,12.5,12.5,11.883333333333333,8.556489675516227,8.824778761061946,8.764778761061946,8.704778761061945,8.333924050632909,8.27392405063291,8.21392405063291,8.59392405063291,10.872658227848099,11.2526582278481,11.6326582278481,12.0126582278481,13.29556962025315,13.29556962025315,13.29556962025315,13.29556962025315,13.9120253164557,13.9120253164557,12.67911392405065,12.658227848101301,19.375,19.375
Guinea,7.0,7.0,7.00877192982456,8.185964912280701,8.4859649122807,8.7859649122807,9.835964912280701,13.0,17.199122807017552,18.24912280701755,19.29912280701755,19.443567251461992,19.588011695906438,20.166666666666668,20.455555555555556,20.744444444444444,21.03333333333333,21.322222222222223,21.61111111111111,21.91491228070175,21.91491228070175,21.91491228070175,21.91491228070175,21.9298245614035,22.8070175438596,16.6666666666667
Guinea-Bissau,10.0,10.0,10.0,9.633333333333333,8.533333333333333,7.821568627450979,8.44156862745098,9.06156862745098,11.52,13.379999999999999,14.0,13.6,13.2,10.8,10.4,10.0,10.0,14.0,14.0,13.7127450980392,13.7127450980392,13.7127450980392,13.7127450980392,13.7254901960784,13.7254901960784,13.7254901960784
Guyana,18.5,18.5,18.5,18.5,18.48076923076925,18.48076923076925,19.71076923076925,21.71,22.939999999999998,29.5546153846154,30.7846153846154,29.8127536231884,29.7327536231884,30.16,30.08,30.0,31.3216417910448,31.3216417910448,31.3216417910448,31.3216417910448,30.41739130434785,30.41739130434785,31.89202898550725,31.8840579710145,31.8840579710145,35.384615384615394
Haiti,9.1,9.1,6.35722891566265,6.35722891566265,6.35722891566265,9.1,6.35722891566265,6.35722891566265,6.35722891566265,6.35722891566265,6.35722891566265,5.145408163265305,5.740816326530609,5.31581632653061,4.89081632653061,7.98055555555555,4.1052631578947345,3.855263157894735,3.855263157894735,3.855263157894735,3.855263157894735,0.05,2.621186440677965,2.5423728813559303,2.5423728813559303,
Heavily indebted poor countries (HIPC),,,8.939566704675029,9.34030045721751,9.11934552454283,,11.9157472417252,13.515298261061,13.521344407958301,14.057453680095199,16.8959653733189,17.1120558761008,17.634474327628396,17.5921605226318,17.7140255009107,18.3136327817179,20.353707725721396,21.498321635642398,22.105263157894697,22.1501976284585,23.8495575221239,24.028946979766697,24.309313585873,24.050267225191398,24.122612172367802,25.405656003708895
High income,,,15.809968847352,15.897386065494098,16.874314761287803,,17.7728687619239,18.4163167366527,18.917596398512398,19.452001554605502,20.0531965422248,20.5536594615093,21.3550033071908,21.568812535397395,22.0858895705521,22.181337862062502,22.757773367356602,23.273034023807302,24.6865057084035,25.219465648855,25.8018463881222,25.8481421647819,27.145325398348998,27.793018635890604,28.971255673222398,29.599848642512498
Honduras,9.4,9.4,9.4,9.3875,9.3875,9.3875,10.7875,10.234375,11.634374999999999,13.034375,23.41875,22.87875,22.338749999999997,21.79875,18.524375,17.984375,19.515625,19.515625,22.65,25.790625,25.790625,25.790625,25.8,21.09375,21.09375,21.09375
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China (SAR)",,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,11.4,11.4,11.399481865284951,9.328411053540588,8.811744386873922,8.295077720207257,8.375077720207255,8.843678756476685,9.312279792746114,9.015454545454546,9.095454545454544,9.73134715025905,10.1199481865285,10.1199481865285,10.1199481865285,9.083678756476685,8.804145077720205,8.804145077720205,8.804145077720205,10.0751256281407,10.100505050505049,10.100505050505049,10.0751256281407,12.5628140703518,12.5628140703518,12.060301507537698
IBRD only,,,9.285892426635632,12.6757607555089,12.5875672885481,12.7028539451595,13.1115072291543,14.4545831605143,13.965022187418402,14.8755081300813,14.468708063925801,15.1577669902913,15.9213201004424,16.3547746555148,17.3006062046832,17.643244517802398,17.9595278246206,19.277037386484302,20.393939393939398,21.009082991165897,21.2767295597484,21.754197287447,22.290512992149896,22.9814781514116,23.5428370786517,23.8145416227608
IDA & IBRD total,,,8.70701369290269,10.942867474236099,11.025401660688901,11.433773752276,11.990240501917,13.270311245875302,13.0452777087989,13.832784413316901,14.505170982109199,15.002065882883198,15.9139623209115,16.4994425863991,17.2442756454735,17.4158523344191,18.185089234312,19.2862190812721,19.9911803616052,20.416210295728398,21.1163465023559,21.454074488938698,21.8621778011573,22.1928339681196,22.5355557885173,23.0771945924959
IDA blend,,,,,,,,10.6394707828004,10.674429888403699,11.554404145077699,12.176165803108802,12.412304371289801,13.1434830230011,13.578947368421,13.901808785529699,13.7842023748064,14.1231246766684,14.3666323377961,18.9073634204276,18.8950789229341,18.5543278084714,18.646408839779,19.034482758620697,19.102153000458102,18.918918918918898,20.438957475994503
IDA only,,,8.11091854419411,8.08411214953271,7.9623287671232905,9.632378932484972,,11.2593556784901,11.6865869853918,12.2359505779195,15.1285189718482,15.2714113389626,16.5277950503669,17.4472649267072,17.8844815588031,17.779814411731,19.4381415451108,20.319148936170198,19.4841408156152,19.733682602052,21.433074175246897,21.5653794388653,21.772484102150003,21.517386722866203,21.5386261502247,22.323990289119397
IDA total,,,7.72695285010556,7.77877123515136,,,,11.1180904522613,11.450554424077803,12.096859469176302,14.5643564356436,14.7490880410135,15.901489814533301,16.7330677290837,17.1544946481008,17.054190886930403,18.5198426885949,19.299947099277002,19.3707991038088,19.574054436196498,20.898203592814397,21.0294987744062,21.2795894719417,21.0657071875268,21.042588255703002,21.9575073339853
Iceland,25.4,25.4,25.3984126984127,26.981746031746034,33.326984126984115,34.910317460317444,34.75031746031745,34.59031746031745,32.049365079365096,31.8893650793651,33.31666666666665,34.27666666666665,35.23666666666665,36.19666666666665,41.91857142857145,42.87857142857145,39.69126984126986,39.69126984126986,39.69126984126986,39.69126984126986,41.28492063492065,47.60952380952381,38.09761904761905,38.0952380952381,38.0952380952381,38.0952380952381
India,7.3,7.3,7.227981651376145,7.82656537753223,8.120183486238535,8.528676470588236,8.569889502762429,8.694889502762429,8.819889502762429,8.653440366972479,8.79364640883978,8.91844036697248,9.45865064695009,9.598650646950091,10.622844036697249,10.762844036697249,10.9545871559633,10.9545871559633,10.9545871559633,11.60902394106815,12.0852670349908,11.8352670349908,11.704059040590401,11.808118081180801,14.3911439114391,14.3646408839779
Indonesia,11.4,11.4,11.4,10.833333333333334,9.133333333333333,8.0,8.33,8.66,8.99,10.956363636363651,11.286363636363651,11.956363636363651,12.8081818181818,13.478181818181799,17.25857142857145,18.01785714285715,18.20714285714285,18.585714285714303,18.585714285714303,16.918468468468447,17.10855855855855,17.10855855855855,19.8107142857143,19.8214285714286,17.3913043478261,20.347826086956502
Iran (Islamic Republic of),4.9,4.9,4.9,4.4,3.9000000000000004,3.4,3.54,3.6799999999999997,3.82,3.96,4.1,3.84,3.5799999999999996,3.32,3.0599999999999996,2.8,2.8,3.1,3.1,3.1,3.1,5.9,5.9,,,
"Iran, Islamic Rep.",,,4.88721804511278,4.88721804511278,4.88721804511278,3.44827586206897,3.44827586206897,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,2.7972027972027997,2.75862068965517,2.75862068965517,2.75862068965517,3.10344827586207,3.10344827586207,3.10344827586207,3.10344827586207,5.882352941176469,5.882352941176469,5.882352941176469,5.882352941176469,5.7971014492753605
Iraq,6.4,6.4,6.4,6.6,6.800000000000001,7.6,8.48,9.36,12.88,14.64,16.4,21.807272727272753,22.68727272727275,23.56727272727275,24.44727272727275,25.2153846153846,25.2153846153846,25.2153846153846,25.2153846153846,25.30243902439025,26.512195121951198,26.512195121951198,25.30243902439025,25.2279635258359,25.2279635258359,26.4437689969605
Ireland,13.7,13.7,12.874096385542149,12.874096385542149,12.874096385542149,12.874096385542149,12.92409638554215,13.5765060240964,13.6265060240964,13.676506024096401,13.7265060240964,13.9165060240964,14.1065060240964,14.2965060240964,14.82969696969695,15.01969696969695,17.0301204819277,17.0301204819277,17.7813253012048,17.5813253012048,18.082530120481948,23.2259493670886,23.2259493670886,22.1518987341772,22.1518987341772,22.5
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,7.5,7.5,7.5,8.333333333333332,11.250000000000016,12.5,13.16666666666665,13.83333333333335,14.5,14.75,15.0,15.003333333333348,15.42333333333335,15.843333333333348,18.34666666666665,19.18333333333335,20.0,20.0,22.5,22.5,26.68333333333335,26.68333333333335,27.5,27.5,23.3333333333333,27.5
Italy,10.0,10.0,10.55555555555555,10.55555555555555,10.55555555555555,10.55555555555555,9.96063492063492,10.00063492063492,10.8643365695793,10.922987012987,10.962987012987,14.84079365079365,15.83079365079365,18.80492063492065,19.79492063492065,20.784920634920653,21.093650793650802,21.0142857142857,31.014285714285702,31.014285714285702,30.5261904761905,30.5261904761905,30.5261904761905,35.7142857142857,35.7142857142857,35.7142857142857
Jamaica,12.3,12.3,11.983333333333348,13.546327683615818,14.049999999999985,14.66666666666665,14.426666666666652,15.04,13.113333333333347,12.873333333333349,12.633333333333349,12.633333333333349,13.46666666666665,13.46666666666665,13.46666666666665,13.46666666666665,14.09920634920635,14.09920634920635,14.09920634920635,14.69920634920635,14.69920634920635,18.23015873015875,18.23015873015875,17.4603174603175,17.4603174603175,17.4603174603175
Japan,7.7,7.7,6.15,6.6499999999999995,7.1499999999999995,8.995833333333334,8.995833333333334,8.995833333333334,8.891666666666666,8.891666666666666,9.829166666666666,10.3275,10.6175,10.907499999999999,12.135,12.425,12.116666666666651,9.608333333333334,9.4625,9.4625,10.53684210526316,11.38684210526316,11.9037634408602,10.1075268817204,10.1075268817204,9.89247311827957
Jordan,1.7,1.7,0.85,0.9833333333333333,1.1166666666666667,1.25,2.355,2.835,5.417272727272725,5.897272727272725,6.377272727272725,6.867272727272725,7.81181818181818,8.301818181818179,8.79181818181818,11.516666666666652,10.96666666666665,10.96666666666665,12.1310810810811,12.0,11.8,15.3923076923077,15.3923076923077,15.3846153846154,15.3846153846154,15.3846153846154
Kazakhstan,11.4,11.4,12.41641791044775,12.383084577114417,11.038738738738733,10.7948051948052,10.5348051948052,10.2748051948052,10.0148051948052,9.7548051948052,9.494805194805199,9.994805194805199,13.243925233644848,13.743925233644848,15.178504672897198,15.678504672897198,15.678504672897198,21.24953271028035,21.24953271028035,22.5086956521739,23.1341121495327,23.9514018691589,24.6014018691589,27.1028037383178,27.1028037383178,27.1028037383178
Kenya,3.0,3.0,2.985148514851485,3.4018018018018,3.485714285714285,3.5857142857142845,3.9357142857142846,4.285714285714285,6.421428571428569,6.77142857142857,7.121428571428569,7.47296803652968,7.7131884057971,9.270714285714286,9.540714285714287,9.810714285714287,9.810714285714287,9.810714285714287,19.2357142857143,19.72142857142855,20.257142857142853,20.257142857142853,22.538252148997152,21.7765042979943,21.7765042979943,21.7765042979943
Kiribati,0.1,0.1,0.05,0.8500000000000002,4.0890243902439,4.8890243902439,4.82095238095238,4.81095238095238,4.84,4.79095238095238,4.78095238095238,5.921428571428569,4.47391304347826,4.42391304347826,4.373913043478259,4.32391304347826,8.69782608695652,8.69782608695652,8.69782608695652,8.69782608695652,8.69782608695652,6.510869565217391,6.510869565217391,6.5217391304347805,6.5217391304347805,8.888888888888891
Korea (Democratic People's Rep. of),20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,19.200000000000003,18.3,17.4,16.5,15.6,15.6,15.6,15.6,16.3,16.3,16.3,16.3,,,
Korea (Republic of),3.0,3.0,3.0,3.966666666666667,4.933333333333334,5.9,7.4,8.9,10.4,11.9,13.4,13.66,13.92,14.18,14.44,14.7,14.7,15.7,15.7,16.3,16.3,17.0,17.0,,,
"Korea, Dem. People's Rep.",,,20.0873362445415,20.0873362445415,20.0873362445415,20.0873362445415,20.0873362445415,20.0873362445415,,20.0873362445415,20.0873362445415,20.0873362445415,20.0873362445415,20.0873362445415,15.5749636098981,15.5749636098981,15.5749636098981,15.5749636098981,15.5749636098981,16.3027656477438,16.3027656477438,16.3027656477438,16.3027656477438,16.3027656477438,17.6128093158661,17.6128093158661
"Korea, Rep.",,,3.0100334448160497,3.67892976588629,3.67892976588629,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,13.0434782608696,13.3779264214047,13.3779264214047,14.381270903010002,13.7123745819398,14.7157190635452,14.7157190635452,14.7157190635452,15.666666666666698,15.666666666666698,16.3333333333333,16.3333333333333,17.0,17.0,17.0,16.6666666666667,19.0
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0.1,0.1,0.05,0.05,0.05,0.05,0.19,0.32999999999999996,0.4699999999999999,0.61,1.51923076923077,2.13923076923077,2.7592307692307703,4.1484615384615395,7.076153846153845,7.6961538461538455,7.6961538461538455,6.176923076923075,6.176923076923075,1.51923076923077,1.51923076923077,2.0,3.08846153846154,3.07692307692308,4.615384615384619,6.34920634920635
Kyrgyz Republic,,,1.42857142857143,1.42857142857143,1.42857142857143,2.3255813953488396,10.0,10.0,10.0,10.0,0.0,0.0,25.5555555555556,25.5555555555556,25.5555555555556,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,19.1666666666667,19.1666666666667,19.1666666666667,19.1666666666667,19.1666666666667,19.1666666666667
Kyrgyzstan,4.8,4.8,4.8,5.2,5.6,6.0,4.82,3.6399999999999997,2.4599999999999995,1.2799999999999994,0.1,4.739999999999999,9.379999999999999,14.019999999999998,18.66,23.3,23.3,23.3,23.3,23.3,19.2,19.2,19.2,,,
Lao PDR,,,,21.212121212121197,21.212121212121197,21.212121212121197,21.212121212121197,22.9357798165138,22.9357798165138,22.9357798165138,22.9357798165138,25.2173913043478,25.2173913043478,25.2173913043478,25.2173913043478,25.2173913043478,25.0,25.0,25.0,25.0,25.0,27.5167785234899,27.5167785234899,27.5167785234899,27.5167785234899,27.5167785234899
Lao People's Democratic Republic,21.2,21.2,21.2,21.2,21.2,21.2,21.54,21.88,22.22,22.56,22.9,23.36,23.82,24.279999999999998,24.74,25.2,25.0,25.0,25.0,25.0,25.0,27.5,27.5,,,
Late-demographic dividend,,,,14.1730627694249,14.7490685952225,14.7582141687589,15.112376690735301,15.6899810964083,15.0797844235443,15.786379225869698,16.016387046429998,16.0408560311284,16.7455061494797,17.0787371624192,17.2161520190024,17.2508525956802,17.660313585578802,18.2850758774788,18.9151470040938,19.1025152439024,19.3653221181419,19.889186090943802,20.7017202837982,21.4700561744264,21.970049297739703,22.022534686656105
Latin America & Caribbean,,,13.1321370309951,15.354874344103802,14.335198507860401,15.1574254667038,14.3748304854896,16.118165327805098,18.4690157958688,19.009468317552802,20.208636584182397,20.340609258815103,21.1068519405846,22.161128376763102,22.7012863268223,23.0060606060606,23.0346475507766,24.485891917742702,25.751282677742502,27.460770328102697,27.9011099899092,28.801135020099302,29.740518962075896,31.196083003031003,31.669776119403,32.7892462794047
Latin America & Caribbean (IDA & IBRD),,,11.254551473022198,12.9065040650406,11.770428015564198,12.6369863013699,11.762756792577902,14.0247678018576,15.395809080326,16.046511627906998,17.4847516700552,17.6790830945559,18.689181453921,18.696397941681003,19.3566752063763,19.651162790697697,19.586167800453502,21.2868480725624,21.828303545268103,23.9931934203063,24.2691839220463,25.6128486897718,26.5404268109408,27.800829875518698,28.361925843940202,29.581901489118
Latin America & Caribbean (excluding high income),,,13.665743305632502,16.071428571428598,14.582723279648599,15.6396621832968,14.789812826020201,16.5658311725727,19.1044776119403,19.6089082020641,20.8955223880597,21.034297963558398,21.844009648887702,23.048128342246,23.763955342902698,24.0780911062907,24.1728922091782,25.7737459978655,27.1112325772069,28.703459202535,29.1985273293685,30.1106427818757,30.644288034650803,32.5130890052356,33.019114951557995,34.2169326480931
Latvia,9.0,9.0,9.0,10.333333333333332,15.666666666666666,17.0,17.4,18.3,20.2,20.6,21.0,19.9,20.3,20.2,21.1,20.0,23.0,23.0,23.0,18.0,18.0,18.0,16.0,31.0,30.0,30.0
Least developed countries: UN classification,,,8.442622950819679,8.58941132913736,8.2316442605998,9.915070116531698,,11.976277023148999,12.38846945779,12.7539330991294,15.6911928651059,15.9171922127776,17.0106761565836,18.7686465961486,19.403379091869102,19.2583888236062,20.823601720958802,21.397533763946,20.910891089108897,21.1382113821138,23.047436511739303,23.0796418473139,22.979683972912003,22.7928794803945,22.881978452497602,23.7926226391178
Lebanon,2.3,2.3,2.321875,2.321875,2.321875,2.321875,2.5618749999999997,2.801875,3.041875,3.2818750000000003,4.69375,4.5337499999999995,4.37375,4.21375,3.2725,3.1125,3.1125,3.1125,3.1125,3.1125,3.1125,3.1125,3.1125,4.6875,4.6875,4.6875
Lesotho,11.2,11.2,7.90769230769231,7.391666666666667,7.332067510548523,7.24873417721519,7.87873417721519,13.219999999999999,13.073333333333348,13.70333333333335,14.33333333333335,14.92333333333335,21.44470588235295,22.77,22.94333333333335,23.53333333333335,23.83333333333335,26.73333333333335,26.73333333333335,26.73333333333335,24.9,24.9,22.4155737704918,22.1311475409836,23.3333333333333,23.3333333333333
Liberia,11.1,11.1,11.1,11.1,11.1,9.45625,9.72625,9.99625,10.26625,9.26157894736842,13.15,13.15,13.15,13.15,13.15,13.15,10.144520547945206,11.3294520547945,11.3294520547945,11.3294520547945,10.8294520547945,10.8294520547945,9.879577464788731,12.3287671232877,12.3287671232877,12.3287671232877
Libya,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.71842105263158,6.496153846153845,6.796153846153846,7.096153846153845,7.396153846153846,7.6961538461538455,12.100000000000001,16.5,16.5,15.9787234042553,15.9787234042553,15.9787234042553,15.9787234042553,15.9574468085106,15.9574468085106,15.9574468085106
Liechtenstein,4.0,4.0,4.0,4.0,4.0,4.0,10.0,12.0,14.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0
Lithuania,17.5,17.5,17.50912408759125,16.359124087591248,15.209124087591249,10.6191489361702,11.759148936170199,12.8991489361702,14.0391489361702,20.85290780141845,21.99290780141845,23.121347517730502,21.76751773049645,18.995248226950352,19.4144680851064,19.1244680851064,19.1244680851064,24.48021582733815,24.1067375886525,24.1067375886525,23.402127659574447,21.28829787234045,21.28829787234045,21.276595744680897,21.276595744680897,24.113475177305002
Low & middle income,,,9.46642812039571,11.7478510028653,11.862904417195999,12.077406244226902,12.4813481962609,13.751123090745699,13.552754832666302,14.436282337911198,15.0444157619011,15.541536020550803,16.473747919503698,17.2049039395978,17.8343247411324,17.9906116953532,18.7054266372226,19.797497236978103,20.625509523456603,21.0197174808711,21.7161016949153,22.068211476739698,22.290467499649,22.7112988534308,23.0241637649045,23.510392609699803
Low income,,,10.3584672435105,9.953810623556581,,12.205775297258,12.3231003701285,13.463833850560999,12.8245067497404,14.318795831725199,16.463519313304698,16.7522245037646,16.96351374719,16.969483153995398,16.5550403572042,17.7536845671692,19.1310205456383,19.468322190385198,19.963582188379398,19.191742477256803,21.3117408906883,21.5062489855543,21.6707768187423,21.5027977617906,21.578258022265896,22.602739726027398
Lower middle income,,,7.48959778085992,8.3076059500421,8.74457700650759,8.2921316570137,9.28749653451622,10.906701708278598,10.7573451948964,11.137108095460901,12.400561534862002,12.665121668597902,13.939105613701198,15.585142089953,16.4505494505494,16.1342894393742,16.6427840327533,18.4739788513373,19.216268707871603,20.7126484684309,21.040462427745698,21.0685385590329,20.8010209090017,20.6132028363128,20.937655860349103,21.425007484283
Luxembourg,20.0,20.0,20.0,19.45,17.23333333333335,16.68333333333335,17.343333333333348,18.00333333333335,18.663333333333348,22.656666666666652,23.31666666666665,22.98666666666665,22.656666666666652,22.32666666666665,20.33,20.0,25.0,21.68333333333335,28.31666666666665,28.31666666666665,28.31666666666665,28.31666666666665,28.31666666666665,20.0,25.0,30.0
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,3.7,3.7,3.715671641791045,5.133333333333334,7.283333333333333,8.0,8.04,8.16,5.995,7.5975,7.6375,8.0075,8.877007874015751,9.24700787401575,11.36,12.3,12.3,16.643169398907098,16.643169398907098,20.514900662251648,20.514900662251648,20.314900662251652,19.402649006622504,19.205298013245002,15.894039735099302,15.894039735099302
Malawi,5.7,5.7,5.674858757062145,6.274858757062145,8.195077720207255,9.313212435233162,9.743212435233161,10.173212435233161,10.60321243523316,13.36481865284975,13.6062827225131,14.326282722513099,14.71668393782385,15.436683937823851,20.09666666666665,20.81666666666665,22.289896373057,22.289896373057,22.289896373057,16.68333333333335,16.68333333333335,16.68333333333335,16.68333333333335,16.6666666666667,22.9166666666667,22.9166666666667
Malaysia,10.3,10.3,9.05625,9.756250000000001,13.1,12.43134715025905,12.29134715025905,12.151347150259049,12.06560209424085,11.2562100456621,11.1162100456621,11.2062100456621,11.752831050228298,12.2254054054054,11.864954954954955,11.954954954954955,11.65361990950225,11.803619909502249,12.1301801801802,12.2801801801802,11.7801801801802,11.6301801801802,11.7301801801802,13.9013452914798,14.4144144144144,14.4144144144144
Maldives,6.3,6.3,6.275,6.225,6.1,6.0,6.6,7.2,7.8,8.4,12.0,11.45,10.9,10.35,7.046753246753244,6.496753246753245,6.496753246753245,6.496753246753245,6.496753246753245,5.891176470588235,5.891176470588235,5.891176470588235,5.891176470588235,5.882352941176469,4.597701149425291,4.597701149425291
Mali,12.2,12.2,12.22244897959185,12.22244897959185,12.22244897959185,12.22244897959185,12.02244897959185,10.80204081632655,10.60204081632655,10.40204081632655,10.20204081632655,10.20204081632655,10.20204081632655,10.20204081632655,10.20204081632655,10.20204081632655,10.20204081632655,10.20204081632655,9.85,9.51190476190476,8.821768707482995,8.821768707482995,8.821768707482995,8.84353741496599,9.52380952380952,27.891156462585002
Malta,5.8,5.8,5.79855072463768,6.365217391304347,8.648717948717948,9.215384615384615,9.215384615384615,9.215384615384615,8.446153846153845,9.215384615384615,9.215384615384615,9.165384615384614,9.115384615384615,8.797826086956519,8.747826086956518,8.69782608695652,8.69782608695652,8.69782608695652,14.29285714285715,14.29285714285715,12.878571428571451,12.878571428571451,11.92014925373135,11.9402985074627,14.925373134328401,13.4328358208955
