,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,9.1,9.1,9.095454545454544,9.095454545454544,9.095454545454544,9.095454545454544,10.24,6.6899999999999995,7.26,7.83,14.791304347826099,15.316231884057949,16.32,11.706666666666667,18.1953623188406,18.5753623188406,19.70714285714285,19.70714285714285,19.70714285714285,19.8137931034483,20.0,20.0,20.29285714285715,20.2857142857143,20.6303724928367,20.9169054441261
Barbados,18.4,18.4,14.55714285714285,14.890476190476182,15.223809523809514,15.55714285714285,15.277142857142849,14.997142857142851,16.02666666666665,15.746666666666652,15.46666666666665,15.66666666666665,15.866666666666653,14.4,14.600000000000001,14.8,14.8,14.8,19.13333333333335,19.13333333333335,18.13333333333335,18.13333333333335,18.13333333333335,20.0,20.0,20.0
Belarus,29.8,29.8,29.8,29.8,29.8,29.8,20.05463917525775,20.05463917525775,20.05463917525775,29.578899082568803,29.445454545454552,29.67545454545455,29.905454545454553,31.499090909090903,31.7290909090909,31.959090909090904,31.959090909090904,28.052752293578003,28.052752293578003,28.052752293578003,28.23636363636365,34.222727272727255,33.82272727272725,34.545454545454504,40.0,40.0
Belgium,15.8,15.8,14.233333333333348,15.750000000000014,22.599999999999984,24.11666666666665,25.19666666666665,26.27666666666665,33.356666666666655,34.10333333333335,35.18333333333335,35.50333333333335,36.15666666666665,36.476666666666645,38.129999999999995,39.116666666666646,38.45,38.45,38.45,40.866666666666646,40.866666666666646,40.866666666666646,39.7,38.0,42.0,40.6666666666667
Belize,10.8,10.8,7.124137931034485,7.574137931034485,9.748275862068965,10.198275862068964,10.038275862068964,9.878275862068964,7.936666666666666,9.443333333333335,9.283333333333335,9.203333333333335,7.456666666666665,5.71,5.63,5.55,5.55,8.2125,8.2125,8.2125,8.2125,8.2125,10.2375,9.375,9.375,9.375
Benin,7.2,7.2,7.2144578313253,7.014457831325299,6.2120481927710856,6.0120481927710845,6.1320481927710855,6.252048192771085,6.372048192771086,7.0944578313252995,7.2144578313253,7.574457831325299,9.74168674698795,10.10168674698795,10.46168674698795,10.82168674698795,8.41686746987952,8.41686746987952,8.41686746987952,8.41686746987952,7.2144578313253,7.2144578313253,7.2144578313253,7.228915662650599,7.228915662650599,7.228915662650599
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,2.0,2.0,2.0,3.216666666666667,4.433333333333334,9.316666666666666,9.316666666666666,9.316666666666666,9.316666666666666,9.255263157894735,9.316666666666666,6.443333333333335,6.903333333333335,10.285319148936171,10.74531914893617,11.20531914893617,11.20531914893617,11.20531914893617,6.64148936170213,8.40531914893617,8.40531914893617,8.40531914893617,8.40531914893617,14.8936170212766,14.8936170212766,14.8936170212766
Bolivia,,,,,11.5384615384615,11.5384615384615,11.5384615384615,18.461538461538503,18.461538461538503,19.2307692307692,16.923076923076902,16.923076923076902,16.923076923076902,16.923076923076902,22.3076923076923,25.384615384615397,25.384615384615397,25.384615384615397,25.384615384615397,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231
Bolivia (Plurinational State of),10.2,10.2,10.2,10.2,10.2,10.2,11.1,12.0,12.899999999999999,13.799999999999999,14.7,17.78,20.86,23.94,27.020000000000003,30.1,30.1,30.1,30.1,51.8,51.8,51.8,51.8,,,
Bosnia and Herzegovina,12.3,12.3,12.3,12.3,12.3,12.3,9.72142857142857,12.3,14.48333333333335,14.48333333333335,14.48333333333335,13.64285714285715,12.80238095238095,13.152380952380952,17.0738095238095,16.23333333333335,20.3642857142857,20.3642857142857,20.3642857142857,20.3642857142857,20.3642857142857,20.3642857142857,20.3642857142857,21.4285714285714,21.4285714285714,21.4285714285714
Botswana,8.5,8.5,8.50531914893617,9.921985815602838,14.166666666666668,17.010638297872347,16.42063829787235,15.83063829787235,15.240638297872348,11.69555555555555,11.10555555555555,10.78555555555555,10.46555555555555,10.14555555555555,8.23825396825397,7.91825396825397,7.91825396825397,7.91825396825397,7.91825396825397,9.51190476190476,9.51190476190476,9.51190476190476,9.51190476190476,9.52380952380952,10.7692307692308,10.7692307692308
Brazil,6.7,6.7,6.66384015594542,6.530506822612086,5.909844054580899,5.776510721247565,6.68130604288499,6.708908382066275,8.19849902534113,8.51849902534113,8.838499025341129,8.9859649122807,9.133430799220267,9.183430799220268,9.1359649122807,9.088499025341129,9.088499025341129,9.088499025341129,9.088499025341129,10.17076023391813,10.37076023391813,10.37076023391813,11.0106237816764,15.009746588694,15.009746588694,14.6198830409357
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.475806451612905,9.095454545454544,9.09090909090909,9.09090909090909,9.09090909090909
Bulgaria,10.8,10.8,10.816666666666652,10.816666666666652,10.816666666666652,10.816666666666652,19.655,20.785,21.915,23.045,22.09166666666665,21.961666666666652,21.62333333333335,21.49333333333335,20.94666666666665,20.81666666666665,20.81666666666665,22.90833333333335,24.59166666666665,20.0,20.40833333333335,20.40833333333335,23.775,23.75,25.8333333333333,26.6666666666667
Burkina Faso,10.8,10.8,9.904504504504505,9.404054054054056,9.354054054054055,9.304054054054056,9.424054054054055,11.34585585585585,11.46585585585585,11.58585585585585,11.70585585585585,12.065855855855851,14.227657657657652,14.587657657657651,14.94765765765765,15.30765765765765,15.30765765765765,15.724015748031501,15.724015748031501,12.55,9.424409448818896,9.424409448818896,11.01181102362205,11.0236220472441,13.3858267716535,13.3858267716535
Burundi,14.4,14.4,14.4,13.1322033898305,10.19145299145299,14.40338983050845,16.13338983050845,19.87787709497205,21.60787709497205,23.33787709497205,31.1042372881356,31.544237288135598,31.984237288135603,32.4242372881356,33.2879661016949,34.0877358490566,32.68809523809525,32.68809523809525,32.68809523809525,32.68809523809525,37.08181818181819,37.08181818181819,37.08181818181819,36.363636363636395,36.363636363636395,38.2113821138211
