Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Czechia,14.0,13.2,12.4,11.6,10.8,10.0,9.4,8.8,8.2,7.6,7.0,6.8,6.6,6.4,6.2,6.0,5.8,5.6,5.4,5.2,5.0,5.0,4.0,4.0,4.0
Côte d'Ivoire,745.0,738.2,731.4,724.6,717.8,711.0,703.0,695.0,687.0,679.0,671.0,685.2,699.4,713.6,727.8,742.0,737.0,732.0,727.0,722.0,717.0,715.0,715.0,688.0,665.0
Denmark,11.0,11.0,11.0,11.0,11.0,11.0,10.6,10.2,9.8,9.4,9.0,8.8,8.6,8.4,8.2,8.0,7.8,7.6,7.4,7.2,7.0,8.0,7.0,7.0,7.0
Djibouti,517.0,504.0,491.0,478.0,465.0,452.0,441.8,431.6,421.4,411.2,401.0,389.0,377.0,365.0,353.0,341.0,327.8,314.6,301.4,288.2,275.0,266.0,257.0,243.0,237.0
Dominican Republic,198.0,198.0,198.0,198.0,198.0,198.0,174.2,150.4,126.6,102.8,79.0,76.0,73.0,70.0,67.0,64.0,66.2,68.4,70.6,72.8,75.0,115.0,62.0,106.0,98.0
Ecuador,185.0,174.2,163.4,152.6,141.8,131.0,125.4,119.8,114.2,108.6,103.0,97.2,91.4,85.6,79.8,74.0,74.2,74.4,74.6,74.8,75.0,78.0,74.0,70.0,66.0
Egypt,106.0,101.4,96.8,92.2,87.6,83.0,79.0,75.0,71.0,67.0,63.0,60.8,58.6,56.4,54.2,52.0,49.6,47.2,44.8,42.4,40.0,39.0,37.0,35.0,34.0
El Salvador,157.0,149.2,141.4,133.6,125.8,118.0,111.2,104.4,97.6,90.8,84.0,80.8,77.6,74.4,71.2,68.0,66.2,64.4,62.6,60.8,59.0,60.0,57.0,55.0,54.0
Equatorial Guinea,1310.0,1258.0,1206.0,1154.0,1102.0,1050.0,980.4,910.8,841.2,771.6,702.0,658.2,614.4,570.6,526.8,483.0,462.2,441.4,420.6,399.8,379.0,364.0,361.0,356.0,351.0
Eritrea,1590.0,1492.0,1394.0,1296.0,1198.0,1100.0,1026.6,953.2,879.8,806.4,733.0,710.2,687.4,664.6,641.8,619.0,611.0,603.0,595.0,587.0,579.0,561.0,540.0,533.0,524.0
