Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,124.8,121.39999999999999,118.0,114.6,111.2,107.8,106.46,105.11999999999999,103.78,102.44,101.1,100.36,99.62,98.88,98.14,97.4,94.98,92.56,90.14,87.72,85.3,82.7,80.4,77.9,75.5,73.2,71.1
Congo,90.0,92.66,95.32,97.98,100.64,103.3,105.5,107.7,109.89999999999999,112.1,114.3,109.17999999999999,104.06,98.94,93.82,88.7,83.58,78.46000000000001,73.34,68.22,63.1,60.2,57.6,55.3,53.3,51.3,49.4
Congo (Democratic Republic of the),186.3,184.34,182.38,180.42000000000002,178.46,176.5,173.46,170.42000000000002,167.38,164.34,161.3,156.70000000000002,152.10000000000002,147.5,142.9,138.3,133.86,129.42000000000002,124.98,120.53999999999999,116.1,112.1,108.3,104.7,101.0,97.6,94.4
Costa Rica,16.8,16.38,15.96,15.54,15.12,14.7,14.34,13.98,13.620000000000001,13.26,12.9,12.42,11.94,11.46,10.98,10.5,10.4,10.3,10.2,10.1,10.0,9.9,9.8,9.7,9.5,9.4,9.2
Croatia,12.8,12.24,11.68,11.120000000000001,10.56,10.0,9.66,9.32,8.98,8.64,8.3,7.98,7.66,7.34,7.0200000000000005,6.7,6.46,6.22,5.98,5.74,5.5,5.3,5.2,5.0,4.9,4.8,4.7
Cuba,13.2,12.7,12.2,11.7,11.2,10.7,10.18,9.66,9.14,8.62,8.1,7.92,7.74,7.5600000000000005,7.38,7.2,6.96,6.72,6.48,6.24,6.0,5.9,5.8,5.7,5.7,5.6,5.5
Cyprus,11.1,10.68,10.26,9.84,9.42,9.0,8.52,8.04,7.56,7.08,6.6,6.239999999999999,5.88,5.52,5.16,4.8,4.56,4.32,4.08,3.84,3.6,3.5,3.3,3.1,3.0,2.9,2.8
Czechia,12.2,11.459999999999999,10.719999999999999,9.98,9.24,8.5,7.9,7.3,6.7,6.1,5.5,5.28,5.0600000000000005,4.84,4.62,4.4,4.2,4.0,3.8,3.6,3.4,3.3,3.2,3.1,3.1,3.1,3.2
Côte d'Ivoire,151.9,152.4,152.9,153.4,153.9,154.4,152.88,151.36,149.84,148.32000000000002,146.8,143.20000000000002,139.60000000000002,136.0,132.4,128.8,125.00000000000001,121.2,117.4,113.6,109.8,106.6,103.5,100.6,97.7,94.9,91.8
Denmark,8.9,8.42,7.94,7.46,6.98,6.5,6.3,6.1,5.9,5.7,5.5,5.36,5.22,5.08,4.9399999999999995,4.8,4.66,4.52,4.38,4.239999999999999,4.1,4.1,4.1,4.1,4.2,4.2,4.3
Djibouti,118.6,116.97999999999999,115.36,113.74,112.12,110.5,108.7,106.9,105.1,103.3,101.5,99.06,96.62,94.17999999999999,91.74,89.3,86.78,84.26,81.74,79.22,76.7,74.4,72.2,70.0,67.8,65.7,63.7
Dominica,17.1,17.0,16.900000000000002,16.8,16.700000000000003,16.6,16.36,16.12,15.88,15.64,15.4,15.52,15.64,15.76,15.88,16.0,16.96,17.92,18.880000000000003,19.84,20.8,22.5,24.4,26.6,28.9,31.2,32.9
Dominican Republic,60.1,57.88,55.660000000000004,53.44,51.22,49.0,47.4,45.8,44.2,42.6,41.0,40.16,39.32,38.48,37.64,36.8,36.3,35.8,35.3,34.8,34.3,33.9,33.5,32.9,32.3,31.6,30.8
Ecuador,54.2,51.52,48.84,46.16,43.48,40.8,38.46,36.12,33.78,31.44,29.1,27.84,26.580000000000002,25.32,24.060000000000002,22.8,21.900000000000002,21.0,20.1,19.2,18.3,17.5,16.7,16.1,15.5,15.1,14.8
